game_id,date,matchup,market,target,probability_pct,line_value,actual_value,actual_outcome,is_correct,is_push
824238,2026-08-13,Cleveland Guardians @ Detroit Tigers,MONEYLINE,Detroit Tigers,50.4,0.0,0 a 3 (V-L),home,True,False
824238,2026-08-13,Cleveland Guardians @ Detroit Tigers,TOTALS,UNDER,79.4,8.0,3.0,UNDER,True,False
824561,2026-08-13,Cincinnati Reds @ Chicago White Sox,MONEYLINE,Chicago White Sox,51.2,0.0,9 a 8 (V-L),away,False,False
824561,2026-08-13,Cincinnati Reds @ Chicago White Sox,TOTALS,UNDER,59.2,8.5,17.0,OVER,False,False
823829,2026-08-13,Pittsburgh Pirates @ Miami Marlins,MONEYLINE,Miami Marlins,57.7,0.0,13 a 1 (V-L),away,False,False
823829,2026-08-13,Pittsburgh Pirates @ Miami Marlins,TOTALS,UNDER,52.2,8.0,14.0,OVER,False,False
823508,2026-08-13,Seattle Mariners @ New York Yankees,MONEYLINE,New York Yankees,62.0,0.0,1 a 0 (V-L),away,False,False
823508,2026-08-13,Seattle Mariners @ New York Yankees,TOTALS,UNDER,72.0,7.5,1.0,UNDER,True,False
822776,2026-08-13,Boston Red Sox @ Toronto Blue Jays,MONEYLINE,Boston Red Sox,71.3,0.0,7 a 0 (V-L),away,True,False
822776,2026-08-13,Boston Red Sox @ Toronto Blue Jays,TOTALS,OVER,50.8,7.5,7.0,UNDER,False,False
822696,2026-08-13,Chicago Cubs @ Washington Nationals,MONEYLINE,Washington Nationals,53.3,0.0,0 a 7 (V-L),home,True,False
822696,2026-08-13,Chicago Cubs @ Washington Nationals,TOTALS,UNDER,51.2,8.5,7.0,UNDER,True,False
823669,2026-08-13,Philadelphia Phillies @ Minnesota Twins,MONEYLINE,Minnesota Twins,54.6,0.0,7 a 1 (V-L),away,False,False
823669,2026-08-13,Philadelphia Phillies @ Minnesota Twins,TOTALS,OVER,51.6,8.5,8.0,UNDER,False,False
823995,2026-08-13,Texas Rangers @ Los Angeles Angels,MONEYLINE,Los Angeles Angels,53.6,0.0,0 a 7 (V-L),home,True,False
823995,2026-08-13,Texas Rangers @ Los Angeles Angels,TOTALS,UNDER,60.9,7.5,7.0,UNDER,True,False
823915,2026-08-13,Milwaukee Brewers @ Los Angeles Dodgers,MONEYLINE,Los Angeles Dodgers,53.0,0.0,5 a 4 (V-L),away,False,False
823915,2026-08-13,Milwaukee Brewers @ Los Angeles Dodgers,TOTALS,UNDER,54.8,8.5,9.0,OVER,False,False
