game_id,date,matchup,home_pitcher,home_era,away_pitcher,away_era,market,pick,model_prob,model_confidence,market_line,evaluation,evaluation_es,status,actual_score,actual_result,updated_at
824234,2026-08-26,Tampa Bay Rays @ Detroit Tigers,Troy Melton,1.7,Freddy Peralta,5.33,MONEYLINE,Detroit Tigers,68.6%,82.64,N/A,FAVORABLE,⭐⭐⭐⭐ Favorable,LOSS,3 - 0,3 a 0 (V-L),2026-08-27T20:00:02.806522
824234,2026-08-26,Tampa Bay Rays @ Detroit Tigers,Troy Melton,1.7,Freddy Peralta,5.33,TOTALS,OVER,50.4%,43.12,7.5,PARTIDO_CERRADO,⭐ Partido cerrado,LOSS,3 - 0,3,2026-08-27T20:00:02.806541
824234,2026-08-26,Tampa Bay Rays @ Detroit Tigers,Troy Melton,1.7,Freddy Peralta,5.33,TEAM_TOTAL_HOME_ALT_2.5,UNDER,50.3%,43.04,2.5,PARTIDO_CERRADO,⭐ Partido cerrado,WIN,3 - 0,0,2026-08-27T20:00:02.806548
824234,2026-08-26,Tampa Bay Rays @ Detroit Tigers,Troy Melton,1.7,Freddy Peralta,5.33,TEAM_TOTAL_HOME_ALT_3.5,UNDER,72.3%,90.64,3.5,FAVORITO_FUERTE,⭐⭐⭐⭐⭐ Favorito fuerte,WIN,3 - 0,0,2026-08-27T20:00:02.806553
824234,2026-08-26,Tampa Bay Rays @ Detroit Tigers,Troy Melton,1.7,Freddy Peralta,5.33,TEAM_TOTAL_AWAY_ALT_2.5,OVER,87.9%,92.8,2.5,FAVORITO_FUERTE,⭐⭐⭐⭐⭐ Favorito fuerte,WIN,3 - 0,3,2026-08-27T20:00:02.806558
824234,2026-08-26,Tampa Bay Rays @ Detroit Tigers,Troy Melton,1.7,Freddy Peralta,5.33,TEAM_TOTAL_AWAY_ALT_3.5,OVER,74.1%,92.08,3.5,FAVORITO_FUERTE,⭐⭐⭐⭐⭐ Favorito fuerte,LOSS,3 - 0,3,2026-08-27T20:00:02.806562
825039,2026-08-26,Chicago Cubs @ Arizona Diamondbacks,Eduardo Rodriguez,2.61,Matthew Boyd,4.15,MONEYLINE,Arizona Diamondbacks,50.5%,43.58,N/A,PARTIDO_CERRADO,⭐ Partido cerrado,WIN,0 - 2,0 a 2 (V-L),2026-08-27T20:00:02.806568
825039,2026-08-26,Chicago Cubs @ Arizona Diamondbacks,Eduardo Rodriguez,2.61,Matthew Boyd,4.15,TOTALS,UNDER,62.4%,82.72,8.5,FAVORABLE,⭐⭐⭐⭐ Favorable,WIN,0 - 2,2,2026-08-27T20:00:02.806572
825039,2026-08-26,Chicago Cubs @ Arizona Diamondbacks,Eduardo Rodriguez,2.61,Matthew Boyd,4.15,TEAM_TOTAL_HOME_ALT_2.5,OVER,62.2%,82.56,2.5,FAVORABLE,⭐⭐⭐⭐ Favorable,LOSS,0 - 2,2,2026-08-27T20:00:02.806576
825039,2026-08-26,Chicago Cubs @ Arizona Diamondbacks,Eduardo Rodriguez,2.61,Matthew Boyd,4.15,TEAM_TOTAL_HOME_ALT_3.5,UNDER,60.0%,73.3,3.5,LIGERA_VENTAJA,⭐⭐⭐ Ligera ventaja,WIN,0 - 2,2,2026-08-27T20:00:02.806580
825039,2026-08-26,Chicago Cubs @ Arizona Diamondbacks,Eduardo Rodriguez,2.61,Matthew Boyd,4.15,TEAM_TOTAL_AWAY_ALT_2.5,OVER,83.4%,92.8,2.5,FAVORITO_FUERTE,⭐⭐⭐⭐⭐ Favorito fuerte,LOSS,0 - 2,0,2026-08-27T20:00:02.806584
825039,2026-08-26,Chicago Cubs @ Arizona Diamondbacks,Eduardo Rodriguez,2.61,Matthew Boyd,4.15,TEAM_TOTAL_AWAY_ALT_3.5,OVER,66.9%,86.32,3.5,FAVORITO_FUERTE,⭐⭐⭐⭐⭐ Favorito fuerte,LOSS,0 - 2,0,2026-08-27T20:00:02.806588
823180,2026-08-26,Cincinnati Reds @ San Francisco Giants,Logan Webb,3.75,Nick Lodolo,5.04,MONEYLINE,San Francisco Giants,58.1%,70.74,N/A,LIGERA_VENTAJA,⭐⭐⭐ Ligera ventaja,LOSS,10 - 9,10 a 9 (V-L),2026-08-27T20:00:02.806593
823180,2026-08-26,Cincinnati Reds @ San Francisco Giants,Logan Webb,3.75,Nick Lodolo,5.04,TOTALS,UNDER,59.2%,72.66,7.5,LIGERA_VENTAJA,⭐⭐⭐ Ligera ventaja,LOSS,10 - 9,19,2026-08-27T20:00:02.806597
823180,2026-08-26,Cincinnati Reds @ San Francisco Giants,Logan Webb,3.75,Nick Lodolo,5.04,TEAM_TOTAL_HOME_ALT_2.5,UNDER,54.4%,59.82,2.5,PARTIDO_CERRADO,⭐ Partido cerrado,LOSS,10 - 9,9,2026-08-27T20:00:02.806601
823180,2026-08-26,Cincinnati Reds @ San Francisco Giants,Logan Webb,3.75,Nick Lodolo,5.04,TEAM_TOTAL_HOME_ALT_3.5,UNDER,75.8%,92.8,3.5,FAVORITO_FUERTE,⭐⭐⭐⭐⭐ Favorito fuerte,LOSS,10 - 9,9,2026-08-27T20:00:02.806605
823180,2026-08-26,Cincinnati Reds @ San Francisco Giants,Logan Webb,3.75,Nick Lodolo,5.04,TEAM_TOTAL_AWAY_ALT_2.5,OVER,83.2%,92.8,2.5,FAVORITO_FUERTE,⭐⭐⭐⭐⭐ Favorito fuerte,WIN,10 - 9,10,2026-08-27T20:00:02.806609
823180,2026-08-26,Cincinnati Reds @ San Francisco Giants,Logan Webb,3.75,Nick Lodolo,5.04,TEAM_TOTAL_AWAY_ALT_3.5,OVER,66.6%,86.08,3.5,FAVORITO_FUERTE,⭐⭐⭐⭐⭐ Favorito fuerte,WIN,10 - 9,10,2026-08-27T20:00:02.806614
823988,2026-08-26,Cleveland Guardians @ Los Angeles Angels,Grayson Rodriguez,6.41,Joey Cantillo,3.73,MONEYLINE,Cleveland Guardians,67.8%,82.29,N/A,FAVORABLE,⭐⭐⭐⭐ Favorable,WIN,4 - 3,4 a 3 (V-L),2026-08-27T20:00:02.806618
823988,2026-08-26,Cleveland Guardians @ Los Angeles Angels,Grayson Rodriguez,6.41,Joey Cantillo,3.73,TOTALS,UNDER,55.3%,60.54,8.5,PARTIDO_CERRADO,⭐ Partido cerrado,WIN,4 - 3,7,2026-08-27T20:00:02.806622
823988,2026-08-26,Cleveland Guardians @ Los Angeles Angels,Grayson Rodriguez,6.41,Joey Cantillo,3.73,TEAM_TOTAL_HOME_ALT_2.5,OVER,86.7%,92.8,2.5,FAVORITO_FUERTE,⭐⭐⭐⭐⭐ Favorito fuerte,WIN,4 - 3,3,2026-08-27T20:00:02.806626
823988,2026-08-26,Cleveland Guardians @ Los Angeles Angels,Grayson Rodriguez,6.41,Joey Cantillo,3.73,TEAM_TOTAL_HOME_ALT_3.5,OVER,72.1%,90.48,3.5,FAVORITO_FUERTE,⭐⭐⭐⭐⭐ Favorito fuerte,LOSS,4 - 3,3,2026-08-27T20:00:02.806630
823988,2026-08-26,Cleveland Guardians @ Los Angeles Angels,Grayson Rodriguez,6.41,Joey Cantillo,3.73,TEAM_TOTAL_AWAY_ALT_2.5,OVER,65.8%,85.44,2.5,FAVORABLE,⭐⭐⭐⭐ Favorable,WIN,4 - 3,4,2026-08-27T20:00:02.806633
823988,2026-08-26,Cleveland Guardians @ Los Angeles Angels,Grayson Rodriguez,6.41,Joey Cantillo,3.73,TEAM_TOTAL_AWAY_ALT_3.5,UNDER,56.1%,70.18,3.5,LIGERA_VENTAJA,⭐⭐⭐ Ligera ventaja,LOSS,4 - 3,4,2026-08-27T20:00:02.806637
823255,2026-08-26,Pittsburgh Pirates @ San Diego Padres,Randy Vásquez,4.19,Bubba Chandler,4.38,MONEYLINE,Pittsburgh Pirates,50.6%,50.94,N/A,PARTIDO_CERRADO,⭐ Partido cerrado,LOSS,0 - 3,0 a 3 (V-L),2026-08-27T20:00:02.806641
823255,2026-08-26,Pittsburgh Pirates @ San Diego Padres,Randy Vásquez,4.19,Bubba Chandler,4.38,TOTALS,UNDER,56.1%,77.38,8.5,LIGERA_VENTAJA,⭐⭐⭐ Ligera ventaja,WIN,0 - 3,3,2026-08-27T20:00:02.806645
823255,2026-08-26,Pittsburgh Pirates @ San Diego Padres,Randy Vásquez,4.19,Bubba Chandler,4.38,TEAM_TOTAL_HOME_ALT_2.5,OVER,72.0%,97.6,2.5,FAVORITO_FUERTE,⭐⭐⭐⭐⭐ Favorito fuerte,WIN,0 - 3,3,2026-08-27T20:00:02.806648
823255,2026-08-26,Pittsburgh Pirates @ San Diego Padres,Randy Vásquez,4.19,Bubba Chandler,4.38,TEAM_TOTAL_HOME_ALT_3.5,OVER,51.2%,50.96,3.5,PARTIDO_CERRADO,⭐ Partido cerrado,LOSS,0 - 3,3,2026-08-27T20:00:02.806652
823255,2026-08-26,Pittsburgh Pirates @ San Diego Padres,Randy Vásquez,4.19,Bubba Chandler,4.38,TEAM_TOTAL_AWAY_ALT_2.5,OVER,82.6%,100.0,2.5,FAVORITO_FUERTE,⭐⭐⭐⭐⭐ Favorito fuerte,LOSS,0 - 3,0,2026-08-27T20:00:02.806655
823255,2026-08-26,Pittsburgh Pirates @ San Diego Padres,Randy Vásquez,4.19,Bubba Chandler,4.38,TEAM_TOTAL_AWAY_ALT_3.5,OVER,65.8%,92.64,3.5,FAVORITO_FUERTE,⭐⭐⭐⭐⭐ Favorito fuerte,LOSS,0 - 3,0,2026-08-27T20:00:02.806658
823096,2026-08-26,Philadelphia Phillies @ Seattle Mariners,Bryan Woo,4.1,Jesús Luzardo,3.23,MONEYLINE,Philadelphia Phillies,68.1%,89.64,N/A,FAVORITO_FUERTE,⭐⭐⭐⭐⭐ Favorito fuerte,WIN,6 - 0,6 a 0 (V-L),2026-08-27T20:00:02.806663
823096,2026-08-26,Philadelphia Phillies @ Seattle Mariners,Bryan Woo,4.1,Jesús Luzardo,3.23,TOTALS,OVER,58.6%,79.38,7.0,FAVORABLE,⭐⭐⭐⭐ Favorable,LOSS,6 - 0,6,2026-08-27T20:00:02.806666
823096,2026-08-26,Philadelphia Phillies @ Seattle Mariners,Bryan Woo,4.1,Jesús Luzardo,3.23,TEAM_TOTAL_HOME_ALT_2.5,OVER,75.3%,100.0,2.5,FAVORITO_FUERTE,⭐⭐⭐⭐⭐ Favorito fuerte,LOSS,6 - 0,0,2026-08-27T20:00:02.806670
823096,2026-08-26,Philadelphia Phillies @ Seattle Mariners,Bryan Woo,4.1,Jesús Luzardo,3.23,TEAM_TOTAL_HOME_ALT_3.5,OVER,55.5%,67.9,3.5,PARTIDO_CERRADO,⭐ Partido cerrado,LOSS,6 - 0,0,2026-08-27T20:00:02.806673
823096,2026-08-26,Philadelphia Phillies @ Seattle Mariners,Bryan Woo,4.1,Jesús Luzardo,3.23,TEAM_TOTAL_AWAY_ALT_2.5,OVER,72.1%,97.68,2.5,FAVORITO_FUERTE,⭐⭐⭐⭐⭐ Favorito fuerte,WIN,6 - 0,6,2026-08-27T20:00:02.806676
823096,2026-08-26,Philadelphia Phillies @ Seattle Mariners,Bryan Woo,4.1,Jesús Luzardo,3.23,TEAM_TOTAL_AWAY_ALT_3.5,OVER,51.4%,51.12,3.5,PARTIDO_CERRADO,⭐ Partido cerrado,WIN,6 - 0,6,2026-08-27T20:00:02.806679
823825,2026-08-26,Boston Red Sox @ Miami Marlins,Ryan Gusto,4.37,Sonny Gray,2.79,MONEYLINE,Boston Red Sox,60.7%,71.76,N/A,LIGERA_VENTAJA,⭐⭐⭐ Ligera ventaja,LOSS,0 - 4,0 a 4 (V-L),2026-08-27T20:00:02.806683
823825,2026-08-26,Boston Red Sox @ Miami Marlins,Ryan Gusto,4.37,Sonny Gray,2.79,TOTALS,UNDER,56.2%,70.26,7.5,LIGERA_VENTAJA,⭐⭐⭐ Ligera ventaja,WIN,0 - 4,4,2026-08-27T20:00:02.806686
823825,2026-08-26,Boston Red Sox @ Miami Marlins,Ryan Gusto,4.37,Sonny Gray,2.79,TEAM_TOTAL_HOME_ALT_2.5,OVER,79.0%,92.8,2.5,FAVORITO_FUERTE,⭐⭐⭐⭐⭐ Favorito fuerte,WIN,0 - 4,4,2026-08-27T20:00:02.806688
823825,2026-08-26,Boston Red Sox @ Miami Marlins,Ryan Gusto,4.37,Sonny Gray,2.79,TEAM_TOTAL_HOME_ALT_3.5,OVER,60.5%,81.2,3.5,FAVORABLE,⭐⭐⭐⭐ Favorable,WIN,0 - 4,4,2026-08-27T20:00:02.806692
823825,2026-08-26,Boston Red Sox @ Miami Marlins,Ryan Gusto,4.37,Sonny Gray,2.79,TEAM_TOTAL_AWAY_ALT_2.5,OVER,58.8%,72.34,2.5,LIGERA_VENTAJA,⭐⭐⭐ Ligera ventaja,LOSS,0 - 4,0,2026-08-27T20:00:02.806695
823825,2026-08-26,Boston Red Sox @ Miami Marlins,Ryan Gusto,4.37,Sonny Gray,2.79,TEAM_TOTAL_AWAY_ALT_3.5,UNDER,63.6%,83.68,3.5,FAVORABLE,⭐⭐⭐⭐ Favorable,WIN,0 - 4,0,2026-08-27T20:00:02.806698
822692,2026-08-26,Colorado Rockies @ Washington Nationals,Matt Waldron,7.54,Tanner Gordon,5.75,MONEYLINE,Washington Nationals,55.9%,0.0,N/A,NO_PLAY_PITCHER,⛔ No Play (Pitcher Novato),LOSS,13 - 1,13 a 1 (V-L),2026-08-27T20:00:02.806702
822692,2026-08-26,Colorado Rockies @ Washington Nationals,Matt Waldron,7.54,Tanner Gordon,5.75,TOTALS,OVER,94.3%,0.0,9.0,NO_PLAY_PITCHER,⛔ No Play (Pitcher Novato),WIN,13 - 1,14,2026-08-27T20:00:02.806705
822692,2026-08-26,Colorado Rockies @ Washington Nationals,Matt Waldron,7.54,Tanner Gordon,5.75,TEAM_TOTAL_HOME_ALT_2.5,OVER,98.6%,0.0,2.5,NO_PLAY_PITCHER,⛔ No Play (Pitcher Novato),LOSS,13 - 1,1,2026-08-27T20:00:02.806709
822692,2026-08-26,Colorado Rockies @ Washington Nationals,Matt Waldron,7.54,Tanner Gordon,5.75,TEAM_TOTAL_HOME_ALT_3.5,OVER,95.6%,0.0,3.5,NO_PLAY_PITCHER,⛔ No Play (Pitcher Novato),LOSS,13 - 1,1,2026-08-27T20:00:02.806712
