id,fecha,partido,equipo_local,equipo_visitante,hora_inicio,estadio,abridor_local,era_local,abridor_visitante,era_visitante,mercado,ganador_proyectado,probabilidad_local,probabilidad_visitante,diferencia_probabilidad,solidez_modelo,marcador_proyectado,evaluacion,estado,generado_en,version_modelo,estado_es,evaluacion_es,mercado_es,total_carreras_esperadas,linea_mercado_ou,lado_recomendado_ou,probabilidad_over_ou,probabilidad_under_ou,origen_linea_ou
824799,2026-08-23,Tampa Bay Rays @ Baltimore Orioles,Baltimore Orioles,Tampa Bay Rays,2026-08-23,Oriole Park at Camden Yards,Shane Baz,4.02,Nick Martinez,3.05,Ganador del partido,Baltimore Orioles,51.2%,48.8%,2.4%,51.59,N/A,⭐ Partido cerrado,FINAL,2026-08-23T14:30:01.630830,1.0.0,Juego finalizado,⭐ Partido cerrado,Ganador del partido,,,,,,
824799,2026-08-23,Tampa Bay Rays @ Baltimore Orioles,Baltimore Orioles,Tampa Bay Rays,2026-08-23,Oriole Park at Camden Yards,Shane Baz,4.02,Nick Martinez,3.05,Más/Menos carreras,N/A,40.7%,59.3%,18.6%,79.94,N/A,⭐⭐⭐⭐ Favorable,FINAL,2026-08-23T14:30:01.630858,1.0.0,Juego finalizado,⭐⭐⭐⭐ Favorable,Más/Menos carreras,8.0,8.5,UNDER,40.7,59.3,MARKET
823421,2026-08-23,St. Louis Cardinals @ Philadelphia Phillies,Philadelphia Phillies,St. Louis Cardinals,2026-08-23,Citizens Bank Park,Cristopher Sánchez,2.51,Kyle Leahy,3.24,Ganador del partido,Philadelphia Phillies,57.7%,42.3%,15.4%,77.78,N/A,⭐⭐⭐ Ligera ventaja,FINAL,2026-08-23T14:30:01.751017,1.0.0,Juego finalizado,⭐⭐⭐ Ligera ventaja,Ganador del partido,,,,,,
823421,2026-08-23,St. Louis Cardinals @ Philadelphia Phillies,Philadelphia Phillies,St. Louis Cardinals,2026-08-23,Citizens Bank Park,Cristopher Sánchez,2.51,Kyle Leahy,3.24,Más/Menos carreras,N/A,34.9%,65.1%,30.2%,92.08,N/A,⭐⭐⭐⭐⭐ Favorito fuerte,FINAL,2026-08-23T14:30:01.751032,1.0.0,Juego finalizado,⭐⭐⭐⭐⭐ Favorito fuerte,Más/Menos carreras,6.64,7.5,UNDER,34.9,65.1,MARKET
823507,2026-08-23,Toronto Blue Jays @ New York Yankees,New York Yankees,Toronto Blue Jays,2026-08-23,Yankee Stadium,Carlos Rodón,3.22,José Soriano,3.23,Ganador del partido,New York Yankees,50.4%,49.6%,0.8%,36.18,N/A,⭐ Partido cerrado,FINAL,2026-08-23T14:30:01.881255,1.0.0,Juego finalizado,⭐ Partido cerrado,Ganador del partido,,,,,,
823507,2026-08-23,Toronto Blue Jays @ New York Yankees,New York Yankees,Toronto Blue Jays,2026-08-23,Yankee Stadium,Carlos Rodón,3.22,José Soriano,3.23,Más/Menos carreras,N/A,24.9%,75.1%,50.2%,85.6,N/A,⭐⭐⭐⭐ Favorable,FINAL,2026-08-23T14:30:01.881271,1.0.0,Juego finalizado,⭐⭐⭐⭐ Favorable,Más/Menos carreras,5.95,7.5,UNDER,24.9,75.1,MARKET
823827,2026-08-23,Washington Nationals @ Miami Marlins,Miami Marlins,Washington Nationals,2026-08-23,loanDepot park,Janson Junk,4.37,Jackson Kent,9.39,Ganador del partido,Miami Marlins,67.9%,32.1%,35.9%,82.36,N/A,⭐⭐⭐⭐ Favorable,FINAL,2026-08-23T14:30:02.006295,1.0.0,Juego finalizado,⭐⭐⭐⭐ Favorable,Ganador del partido,,,,,,
823827,2026-08-23,Washington Nationals @ Miami Marlins,Miami Marlins,Washington Nationals,2026-08-23,loanDepot park,Janson Junk,4.37,Jackson Kent,9.39,Más/Menos carreras,N/A,70.0%,30.0%,40.0%,88.8,N/A,⭐⭐⭐⭐⭐ Favorito fuerte,FINAL,2026-08-23T14:30:02.006313,1.0.0,Juego finalizado,⭐⭐⭐⭐⭐ Favorito fuerte,Más/Menos carreras,10.3,8.5,OVER,70.0,30.0,MARKET
824071,2026-08-23,Detroit Tigers @ Kansas City Royals,Kansas City Royals,Detroit Tigers,2026-08-23,Kauffman Stadium,Daniel Lynch IV,2.83,Jacob Waguespack,1.95,Ganador del partido,Detroit Tigers,48.5%,51.5%,3.0%,0.0,N/A,NO_PLAY,IN_PROGRESS,2026-08-23T17:30:02.765571,1.0.0,IN_PROGRESS,NO_PLAY,Ganador del partido,,,,,,
824071,2026-08-23,Detroit Tigers @ Kansas City Royals,Kansas City Royals,Detroit Tigers,2026-08-23,Kauffman Stadium,Daniel Lynch IV,2.83,Jacob Waguespack,1.95,Más/Menos carreras,N/A,18.8%,81.2%,62.4%,0.0,N/A,NO_PLAY,IN_PROGRESS,2026-08-23T17:30:02.765594,1.0.0,IN_PROGRESS,NO_PLAY,Más/Menos carreras,6.33,8.5,UNDER,18.8,81.2,MARKET
