id,fecha,partido,equipo_local,equipo_visitante,hora_inicio,estadio,abridor_local,era_local,abridor_visitante,era_visitante,mercado,ganador_proyectado,probabilidad_local,probabilidad_visitante,diferencia_probabilidad,solidez_modelo,marcador_proyectado,evaluacion,estado,generado_en,version_modelo,estado_es,evaluacion_es,mercado_es,total_carreras_esperadas,linea_mercado_ou,lado_recomendado_ou,probabilidad_over_ou,probabilidad_under_ou,origen_linea_ou
824239,2026-08-15,Chicago White Sox @ Detroit Tigers,Detroit Tigers,Chicago White Sox,2026-08-15,Comerica Park,Troy Melton,1.46,Anthony Kay,3.96,Ganador del partido,Detroit Tigers,65.0%,35.0%,30.0%,81.0,N/A,⭐⭐⭐⭐ Favorable,READY,2026-08-15T09:30:02.193024,1.0.0,Listo para analizar,⭐⭐⭐⭐ Favorable,Ganador del partido,,,,,,
824239,2026-08-15,Chicago White Sox @ Detroit Tigers,Detroit Tigers,Chicago White Sox,2026-08-15,Comerica Park,Troy Melton,1.46,Anthony Kay,3.96,Más/Menos carreras,N/A,11.6%,88.4%,76.8%,92.8,N/A,⭐⭐⭐⭐⭐ Favorito fuerte,READY,2026-08-15T09:30:02.193041,1.0.0,Listo para analizar,⭐⭐⭐⭐⭐ Favorito fuerte,Más/Menos carreras,5.5,8.0,UNDER,11.6,88.4,MARKET
824644,2026-08-15,St. Louis Cardinals @ Chicago Cubs,Chicago Cubs,St. Louis Cardinals,2026-08-15,Wrigley Field,Matthew Boyd,3.5,Michael McGreevy,3.64,Ganador del partido,Chicago Cubs,66.3%,33.7%,32.5%,81.57,N/A,⭐⭐⭐⭐ Favorable,READY,2026-08-15T09:30:02.358616,1.0.0,Listo para analizar,⭐⭐⭐⭐ Favorable,Ganador del partido,,,,,,
824644,2026-08-15,St. Louis Cardinals @ Chicago Cubs,Chicago Cubs,St. Louis Cardinals,2026-08-15,Wrigley Field,Matthew Boyd,3.5,Michael McGreevy,3.64,Más/Menos carreras,N/A,23.8%,76.2%,52.4%,92.8,N/A,⭐⭐⭐⭐⭐ Favorito fuerte,READY,2026-08-15T09:30:02.358629,1.0.0,Listo para analizar,⭐⭐⭐⭐⭐ Favorito fuerte,Más/Menos carreras,7.39,9.0,UNDER,23.8,76.2,MARKET
822775,2026-08-15,New York Yankees @ Toronto Blue Jays,Toronto Blue Jays,New York Yankees,2026-08-15,Rogers Centre,Braydon Fisher,3.54,Cam Schlittler,2.21,Ganador del partido,New York Yankees,43.1%,56.9%,13.8%,0.0,N/A,NO_PLAY,READY,2026-08-15T09:30:02.489234,1.0.0,Listo para analizar,NO_PLAY,Ganador del partido,,,,,,
822775,2026-08-15,New York Yankees @ Toronto Blue Jays,Toronto Blue Jays,New York Yankees,2026-08-15,Rogers Centre,Braydon Fisher,3.54,Cam Schlittler,2.21,Más/Menos carreras,N/A,23.9%,76.1%,52.2%,0.0,N/A,NO_PLAY,READY,2026-08-15T09:30:02.489248,1.0.0,Listo para analizar,NO_PLAY,Más/Menos carreras,5.88,7.5,UNDER,23.9,76.1,MARKET
823184,2026-08-15,Colorado Rockies @ San Francisco Giants,San Francisco Giants,Colorado Rockies,2026-08-15,Oracle Park,Logan Webb,3.59,Michael Lorenzen,6.83,Ganador del partido,San Francisco Giants,65.7%,34.3%,31.4%,88.5,N/A,⭐⭐⭐⭐⭐ Favorito fuerte,READY,2026-08-15T09:30:02.657891,1.0.0,Listo para analizar,⭐⭐⭐⭐⭐ Favorito fuerte,Ganador del partido,,,,,,
823184,2026-08-15,Colorado Rockies @ San Francisco Giants,San Francisco Giants,Colorado Rockies,2026-08-15,Oracle Park,Logan Webb,3.59,Michael Lorenzen,6.83,Más/Menos carreras,N/A,79.7%,20.3%,59.4%,100.0,N/A,⭐⭐⭐⭐⭐ Favorito fuerte,READY,2026-08-15T09:30:02.657903,1.0.0,Listo para analizar,⭐⭐⭐⭐⭐ Favorito fuerte,Más/Menos carreras,10.2,7.5,OVER,79.7,20.3,MARKET
823588,2026-08-15,Washington Nationals @ New York Mets,New York Mets,Washington Nationals,2026-08-15,Citi Field,Sean Manaea,4.13,Brad Lord,3.79,Ganador del partido,New York Mets,50.1%,49.9%,0.3%,35.83,N/A,⭐ Partido cerrado,READY,2026-08-15T09:30:02.797547,1.0.0,Listo para analizar,⭐ Partido cerrado,Ganador del partido,,,,,,
823588,2026-08-15,Washington Nationals @ New York Mets,New York Mets,Washington Nationals,2026-08-15,Citi Field,Sean Manaea,4.13,Brad Lord,3.79,Más/Menos carreras,N/A,42.1%,57.9%,15.8%,64.42,N/A,⭐ Partido cerrado,READY,2026-08-15T09:30:02.797562,1.0.0,Listo para analizar,⭐ Partido cerrado,Más/Menos carreras,8.1,8.5,UNDER,42.1,57.9,MARKET
