id,fecha,partido,equipo_local,equipo_visitante,hora_inicio,estadio,abridor_local,era_local,abridor_visitante,era_visitante,mercado,ganador_proyectado,probabilidad_local,probabilidad_visitante,diferencia_probabilidad,solidez_modelo,marcador_proyectado,evaluacion,estado,generado_en,version_modelo,estado_es,evaluacion_es,mercado_es,total_carreras_esperadas,linea_mercado_ou,lado_recomendado_ou,probabilidad_over_ou,probabilidad_under_ou,origen_linea_ou
824238,2026-08-13,Cleveland Guardians @ Detroit Tigers,Detroit Tigers,Cleveland Guardians,2026-08-13,Comerica Park,Keider Montero,3.38,Parker Messick,2.57,Ganador del partido,Detroit Tigers,50.4%,49.6%,0.8%,43.4,N/A,⭐ Partido cerrado,READY,2026-08-13T16:45:58.425887,1.0.0,Listo para analizar,⭐ Partido cerrado,Ganador del partido,,,,,,
824238,2026-08-13,Cleveland Guardians @ Detroit Tigers,Detroit Tigers,Cleveland Guardians,2026-08-13,Comerica Park,Keider Montero,3.38,Parker Messick,2.57,Más/Menos carreras,N/A,20.6%,79.4%,58.8%,92.8,N/A,⭐⭐⭐⭐⭐ Favorito fuerte,READY,2026-08-13T16:45:58.425899,1.0.0,Listo para analizar,⭐⭐⭐⭐⭐ Favorito fuerte,Más/Menos carreras,6.28,8.0,UNDER,20.6,79.4,MARKET
824561,2026-08-13,Cincinnati Reds @ Chicago White Sox,Chicago White Sox,Cincinnati Reds,2026-08-13,Rate Field,Davis Martin,4.17,Andrew Abbott,3.92,Ganador del partido,Chicago White Sox,51.2%,48.8%,2.4%,51.62,N/A,⭐ Partido cerrado,READY,2026-08-13T16:45:58.597014,1.0.0,Listo para analizar,⭐ Partido cerrado,Ganador del partido,,,,,,
824561,2026-08-13,Cincinnati Reds @ Chicago White Sox,Chicago White Sox,Cincinnati Reds,2026-08-13,Rate Field,Davis Martin,4.17,Andrew Abbott,3.92,Más/Menos carreras,N/A,40.8%,59.2%,18.4%,79.86,N/A,⭐⭐⭐⭐ Favorable,READY,2026-08-13T16:45:58.597026,1.0.0,Listo para analizar,⭐⭐⭐⭐ Favorable,Más/Menos carreras,8.0,8.5,UNDER,40.8,59.2,MARKET
823829,2026-08-13,Pittsburgh Pirates @ Miami Marlins,Miami Marlins,Pittsburgh Pirates,2026-08-13,loanDepot park,Tyler Phillips,3.47,Braxton Ashcraft,4.08,Ganador del partido,Miami Marlins,57.7%,42.3%,15.4%,70.59,N/A,⭐⭐⭐ Ligera ventaja,READY,2026-08-13T16:45:58.720373,1.0.0,Listo para analizar,⭐⭐⭐ Ligera ventaja,Ganador del partido,,,,,,
823829,2026-08-13,Pittsburgh Pirates @ Miami Marlins,Miami Marlins,Pittsburgh Pirates,2026-08-13,loanDepot park,Tyler Phillips,3.47,Braxton Ashcraft,4.08,Más/Menos carreras,N/A,47.8%,52.2%,4.4%,44.56,N/A,⭐ Partido cerrado,READY,2026-08-13T16:45:58.720385,1.0.0,Listo para analizar,⭐ Partido cerrado,Más/Menos carreras,8.03,8.0,UNDER,47.8,52.2,MARKET
823508,2026-08-13,Seattle Mariners @ New York Yankees,New York Yankees,Seattle Mariners,2026-08-13,Yankee Stadium,Max Fried,2.88,Logan Gilbert,3.42,Ganador del partido,New York Yankees,62.0%,38.0%,24.1%,72.31,N/A,⭐⭐⭐ Ligera ventaja,READY,2026-08-13T16:45:58.901459,1.0.0,Listo para analizar,⭐⭐⭐ Ligera ventaja,Ganador del partido,,,,,,
823508,2026-08-13,Seattle Mariners @ New York Yankees,New York Yankees,Seattle Mariners,2026-08-13,Yankee Stadium,Max Fried,2.88,Logan Gilbert,3.42,Más/Menos carreras,N/A,28.0%,72.0%,44.0%,90.4,N/A,⭐⭐⭐⭐⭐ Favorito fuerte,READY,2026-08-13T16:45:58.901471,1.0.0,Listo para analizar,⭐⭐⭐⭐⭐ Favorito fuerte,Más/Menos carreras,6.17,7.5,UNDER,28.0,72.0,MARKET
822776,2026-08-13,Boston Red Sox @ Toronto Blue Jays,Toronto Blue Jays,Boston Red Sox,2026-08-13,Rogers Centre,Max Scherzer,7.25,Payton Tolle,3.2,Ganador del partido,Boston Red Sox,28.7%,71.3%,42.6%,76.51,N/A,⭐⭐⭐ Ligera ventaja,READY,2026-08-13T16:45:59.022390,1.0.0,Listo para analizar,⭐⭐⭐ Ligera ventaja,Ganador del partido,,,,,,
822776,2026-08-13,Boston Red Sox @ Toronto Blue Jays,Toronto Blue Jays,Boston Red Sox,2026-08-13,Rogers Centre,Max Scherzer,7.25,Payton Tolle,3.2,Más/Menos carreras,N/A,50.8%,49.2%,1.6%,36.24,N/A,⭐ Partido cerrado,READY,2026-08-13T16:45:59.022402,1.0.0,Listo para analizar,⭐ Partido cerrado,Más/Menos carreras,7.73,7.5,OVER,50.8,49.2,MARKET
822696,2026-08-13,Chicago Cubs @ Washington Nationals,Washington Nationals,Chicago Cubs,2026-08-13,Nationals Park,Cade Cavalli,3.57,Kevin Gausman,4.29,Ganador del partido,Washington Nationals,53.3%,46.7%,6.6%,66.68,N/A,⭐ Partido cerrado,READY,2026-08-13T16:45:59.153239,1.0.0,Listo para analizar,⭐ Partido cerrado,Ganador del partido,,,,,,
822696,2026-08-13,Chicago Cubs @ Washington Nationals,Washington Nationals,Chicago Cubs,2026-08-13,Nationals Park,Cade Cavalli,3.57,Kevin Gausman,4.29,Más/Menos carreras,N/A,48.8%,51.2%,2.4%,50.96,N/A,⭐ Partido cerrado,READY,2026-08-13T16:45:59.153251,1.0.0,Listo para analizar,⭐ Partido cerrado,Más/Menos carreras,8.58,8.5,UNDER,48.8,51.2,MARKET
