game_id,date,matchup,market,target,probability_pct,line_value,actual_value,actual_outcome,is_correct,is_push
823672,2026-08-12,Baltimore Orioles @ Minnesota Twins,MONEYLINE,Baltimore Orioles,63.4,0.0,5 a 7 (V-L),home,False,False
823672,2026-08-12,Baltimore Orioles @ Minnesota Twins,TOTALS,UNDER,57.0,9.0,12.0,OVER,False,False
823017,2026-08-12,Philadelphia Phillies @ St. Louis Cardinals,MONEYLINE,Philadelphia Phillies,50.0,0.0,1 a 7 (V-L),home,False,False
823017,2026-08-12,Philadelphia Phillies @ St. Louis Cardinals,TOTALS,UNDER,77.2,8.0,8.0,UNDER,False,True
824967,2026-08-12,Tampa Bay Rays @ Athletics,MONEYLINE,Tampa Bay Rays,78.0,0.0,8 a 4 (V-L),away,True,False
824967,2026-08-12,Tampa Bay Rays @ Athletics,TOTALS,OVER,52.0,9.5,12.0,OVER,True,False
825047,2026-08-12,Colorado Rockies @ Arizona Diamondbacks,MONEYLINE,Arizona Diamondbacks,65.8,0.0,6 a 4 (V-L),away,False,False
825047,2026-08-12,Colorado Rockies @ Arizona Diamondbacks,TOTALS,OVER,60.1,9.0,10.0,OVER,True,False
823187,2026-08-12,Houston Astros @ San Francisco Giants,MONEYLINE,Houston Astros,50.6,0.0,2 a 1 (V-L),away,True,False
823187,2026-08-12,Houston Astros @ San Francisco Giants,TOTALS,UNDER,56.8,8.5,3.0,UNDER,True,False
823263,2026-08-12,Milwaukee Brewers @ San Diego Padres,MONEYLINE,San Diego Padres,61.2,0.0,3 a 4 (V-L),home,True,False
823263,2026-08-12,Milwaukee Brewers @ San Diego Padres,TOTALS,UNDER,63.6,8.0,7.0,UNDER,True,False
824241,2026-08-12,Cleveland Guardians @ Detroit Tigers,MONEYLINE,Detroit Tigers,50.8,0.0,6 a 4 (V-L),away,False,False
824241,2026-08-12,Cleveland Guardians @ Detroit Tigers,TOTALS,UNDER,70.9,8.0,10.0,OVER,False,False
823833,2026-08-12,Pittsburgh Pirates @ Miami Marlins,MONEYLINE,Pittsburgh Pirates,50.2,0.0,2 a 8 (V-L),home,False,False
823833,2026-08-12,Pittsburgh Pirates @ Miami Marlins,TOTALS,UNDER,52.6,8.0,10.0,OVER,False,False
822698,2026-08-12,Chicago Cubs @ Washington Nationals,MONEYLINE,Chicago Cubs,54.6,0.0,12 a 6 (V-L),away,True,False
822698,2026-08-12,Chicago Cubs @ Washington Nationals,TOTALS,OVER,55.1,9.5,18.0,OVER,True,False
823511,2026-08-12,Seattle Mariners @ New York Yankees,MONEYLINE,New York Yankees,50.2,0.0,5 a 10 (V-L),home,True,False
823511,2026-08-12,Seattle Mariners @ New York Yankees,TOTALS,UNDER,76.9,8.5,15.0,OVER,False,False
822779,2026-08-12,Boston Red Sox @ Toronto Blue Jays,MONEYLINE,Boston Red Sox,52.8,0.0,4 a 6 (V-L),home,False,False
822779,2026-08-12,Boston Red Sox @ Toronto Blue Jays,TOTALS,UNDER,70.2,7.0,10.0,OVER,False,False
824883,2026-08-12,New York Mets @ Atlanta Braves,MONEYLINE,New York Mets,50.2,0.0,3 a 6 (V-L),home,False,False
824883,2026-08-12,New York Mets @ Atlanta Braves,TOTALS,UNDER,70.2,8.5,9.0,OVER,False,False
824562,2026-08-12,Cincinnati Reds @ Chicago White Sox,MONEYLINE,Chicago White Sox,57.1,0.0,0 a 5 (V-L),home,True,False
824562,2026-08-12,Cincinnati Reds @ Chicago White Sox,TOTALS,OVER,61.0,8.5,5.0,UNDER,False,False
823916,2026-08-12,Kansas City Royals @ Los Angeles Dodgers,MONEYLINE,Kansas City Royals,60.1,0.0,2 a 4 (V-L),home,False,False
823916,2026-08-12,Kansas City Royals @ Los Angeles Dodgers,TOTALS,UNDER,79.2,9.0,6.0,UNDER,True,False
823994,2026-08-12,Texas Rangers @ Los Angeles Angels,MONEYLINE,Texas Rangers,67.1,0.0,2 a 5 (V-L),home,False,False
823994,2026-08-12,Texas Rangers @ Los Angeles Angels,TOTALS,UNDER,61.5,9.0,7.0,UNDER,True,False
