id,fecha,partido,equipo_local,equipo_visitante,hora_inicio,estadio,abridor_local,era_local,abridor_visitante,era_visitante,mercado,ganador_proyectado,probabilidad_local,probabilidad_visitante,diferencia_probabilidad,solidez_modelo,marcador_proyectado,evaluacion,estado,generado_en,version_modelo,estado_es,evaluacion_es,mercado_es,total_carreras_esperadas,linea_mercado_ou,lado_recomendado_ou,probabilidad_over_ou,probabilidad_under_ou,origen_linea_ou
824474,2026-08-20,St. Louis Cardinals @ Cincinnati Reds,Cincinnati Reds,St. Louis Cardinals,2026-08-20,Great American Ball Park,Brady Singer,0.0,Michael McGreevy,0.0,Ganador del partido,N/A,N/A,N/A,N/A,N/A,N/A,N/A,FINAL,2026-08-20T10:36:41.085644,1.0.0,Juego finalizado,N/A,Ganador del partido,,,,,,
824474,2026-08-20,St. Louis Cardinals @ Cincinnati Reds,Cincinnati Reds,St. Louis Cardinals,2026-08-20,Great American Ball Park,Brady Singer,0.0,Michael McGreevy,0.0,Más/Menos carreras,N/A,N/A,N/A,N/A,N/A,N/A,N/A,FINAL,2026-08-20T10:36:41.085644,1.0.0,Juego finalizado,N/A,Más/Menos carreras,,,,,,
824395,2026-08-20,San Francisco Giants @ Cleveland Guardians,Cleveland Guardians,San Francisco Giants,2026-08-20,Progressive Field,Gavin Williams,3.74,Landen Roupp,4.31,Ganador del partido,Cleveland Guardians,65.2%,34.8%,30.4%,88.29,N/A,⭐⭐⭐⭐⭐ Favorito fuerte,FINAL,2026-08-20T10:36:41.673924,1.0.0,Juego finalizado,⭐⭐⭐⭐⭐ Favorito fuerte,Ganador del partido,,,,,,
824395,2026-08-20,San Francisco Giants @ Cleveland Guardians,Cleveland Guardians,San Francisco Giants,2026-08-20,Progressive Field,Gavin Williams,3.74,Landen Roupp,4.31,Más/Menos carreras,N/A,62.1%,37.9%,24.2%,89.68,N/A,⭐⭐⭐⭐⭐ Favorito fuerte,FINAL,2026-08-20T10:36:41.673924,1.0.0,Juego finalizado,⭐⭐⭐⭐⭐ Favorito fuerte,Más/Menos carreras,7.9,7.0,OVER,62.1,37.9,MARKET
822934,2026-08-20,Toronto Blue Jays @ Tampa Bay Rays,Tampa Bay Rays,Toronto Blue Jays,2026-08-20,Tropicana Field,Ian Seymour,4.11,Shane Bieber,4.99,Ganador del partido,Tampa Bay Rays,62.7%,37.3%,25.4%,65.38,N/A,⭐ Partido cerrado,FINAL,2026-08-20T10:36:42.079378,1.0.0,Juego finalizado,⭐ Partido cerrado,Ganador del partido,,,,,,
822934,2026-08-20,Toronto Blue Jays @ Tampa Bay Rays,Tampa Bay Rays,Toronto Blue Jays,2026-08-20,Tropicana Field,Ian Seymour,4.11,Shane Bieber,4.99,Más/Menos carreras,N/A,64.6%,35.4%,29.2%,77.28,N/A,⭐⭐⭐ Ligera ventaja,FINAL,2026-08-20T10:36:42.079378,1.0.0,Juego finalizado,⭐⭐⭐ Ligera ventaja,Más/Menos carreras,8.07,7.0,OVER,64.6,35.4,MARKET
824074,2026-08-20,Athletics @ Kansas City Royals,Kansas City Royals,Athletics,2026-08-20,Kauffman Stadium,Randy Dobnak,1.73,Gage Jump,4.5,Ganador del partido,Kansas City Royals,71.2%,28.8%,42.4%,0.0,N/A,NO_PLAY,IN_PROGRESS,2026-08-20T10:36:42.403213,1.0.0,IN_PROGRESS,NO_PLAY,Ganador del partido,,,,,,
824074,2026-08-20,Athletics @ Kansas City Royals,Kansas City Royals,Athletics,2026-08-20,Kauffman Stadium,Randy Dobnak,1.73,Gage Jump,4.5,Más/Menos carreras,N/A,29.1%,70.9%,41.8%,0.0,N/A,NO_PLAY,IN_PROGRESS,2026-08-20T10:36:42.403213,1.0.0,IN_PROGRESS,NO_PLAY,Más/Menos carreras,6.87,8.0,UNDER,29.1,70.9,MARKET
824589,2026-08-20,Atlanta Braves @ Chicago White Sox,Chicago White Sox,Atlanta Braves,2026-08-20,Rate Field,Anthony Kay,4.01,Martín Pérez,3.15,Ganador del partido,Atlanta Braves,49.9%,50.1%,0.1%,50.08,N/A,⭐ Partido cerrado,IN_PROGRESS,2026-08-20T10:36:42.725405,1.0.0,IN_PROGRESS,⭐ Partido cerrado,Ganador del partido,,,,,,
824589,2026-08-20,Atlanta Braves @ Chicago White Sox,Chicago White Sox,Atlanta Braves,2026-08-20,Rate Field,Anthony Kay,4.01,Martín Pérez,3.15,Más/Menos carreras,N/A,33.5%,66.5%,33.0%,93.2,N/A,⭐⭐⭐⭐⭐ Favorito fuerte,IN_PROGRESS,2026-08-20T10:36:42.725405,1.0.0,IN_PROGRESS,⭐⭐⭐⭐⭐ Favorito fuerte,Más/Menos carreras,7.48,8.5,UNDER,33.5,66.5,MARKET
823747,2026-08-20,Seattle Mariners @ Milwaukee Brewers,Milwaukee Brewers,Seattle Mariners,2026-08-20,American Family Field,Robert Gasser,4.54,George Kirby,3.89,Ganador del partido,Milwaukee Brewers,61.4%,38.6%,22.8%,72.06,N/A,⭐⭐⭐ Ligera ventaja,IN_PROGRESS,2026-08-20T10:36:43.076882,1.0.0,IN_PROGRESS,⭐⭐⭐ Ligera ventaja,Ganador del partido,,,,,,
823747,2026-08-20,Seattle Mariners @ Milwaukee Brewers,Milwaukee Brewers,Seattle Mariners,2026-08-20,American Family Field,Robert Gasser,4.54,George Kirby,3.89,Más/Menos carreras,N/A,42.5%,57.5%,15.0%,71.3,N/A,⭐⭐⭐ Ligera ventaja,IN_PROGRESS,2026-08-20T10:36:43.076882,1.0.0,IN_PROGRESS,⭐⭐⭐ Ligera ventaja,Más/Menos carreras,7.7,8.0,UNDER,42.5,57.5,MARKET
824802,2026-08-20,New York Yankees @ Baltimore Orioles,Baltimore Orioles,New York Yankees,2026-08-20,Oriole Park at Camden Yards,Kyle Bradish,3.65,Gerrit Cole,3.22,Ganador del partido,New York Yankees,36.2%,63.8%,27.7%,80.23,N/A,⭐⭐⭐⭐ Favorable,READY,2026-08-20T20:00:02.782217,1.0.0,Listo para analizar,⭐⭐⭐⭐ Favorable,Ganador del partido,,,,,,
824802,2026-08-20,New York Yankees @ Baltimore Orioles,Baltimore Orioles,New York Yankees,2026-08-20,Oriole Park at Camden Yards,Kyle Bradish,3.65,Gerrit Cole,3.22,Más/Menos carreras,N/A,38.0%,62.0%,24.0%,89.6,N/A,⭐⭐⭐⭐⭐ Favorito fuerte,READY,2026-08-20T20:00:02.782234,1.0.0,Listo para analizar,⭐⭐⭐⭐⭐ Favorito fuerte,Más/Menos carreras,6.86,7.5,UNDER,38.0,62.0,MARKET
822861,2026-08-20,Washington Nationals @ Texas Rangers,Texas Rangers,Washington Nationals,2026-08-20,Globe Life Field,Jacob deGrom,3.95,Andrew Alvarez,3.72,Ganador del partido,Washington Nationals,40.5%,59.5%,19.0%,78.5,N/A,⭐⭐⭐⭐ Favorable,READY,2026-08-20T20:00:02.846805,1.0.0,Listo para analizar,⭐⭐⭐⭐ Favorable,Ganador del partido,,,,,,
