game_id,date,matchup,home_pitcher,home_era,away_pitcher,away_era,market,pick,model_prob,model_confidence,market_line,evaluation,evaluation_es,status,actual_score,actual_result,updated_at
824235,2026-08-24,Tampa Bay Rays @ Detroit Tigers,Framber Valdez,4.35,Drew Rasmussen,3.01,MONEYLINE,Tampa Bay Rays,50.6%,50.95,N/A,PARTIDO_CERRADO,⭐ Partido cerrado,WIN,4 - 1,4 a 1 (V-L),2026-08-25T14:37:47.039850
824235,2026-08-24,Tampa Bay Rays @ Detroit Tigers,Framber Valdez,4.35,Drew Rasmussen,3.01,TOTALS,OVER,57.1%,78.18,7.5,FAVORABLE,⭐⭐⭐⭐ Favorable,LOSS,4 - 1,5,2026-08-25T14:37:47.039867
823828,2026-08-24,Boston Red Sox @ Miami Marlins,Sandy Alcantara,3.46,Ranger Suarez,3.41,MONEYLINE,Boston Red Sox,51.3%,51.75,N/A,PARTIDO_CERRADO,⭐ Partido cerrado,WIN,4 - 2,4 a 2 (V-L),2026-08-25T14:37:47.039873
823828,2026-08-24,Boston Red Sox @ Miami Marlins,Sandy Alcantara,3.46,Ranger Suarez,3.41,TOTALS,UNDER,58.2%,79.06,7.5,FAVORABLE,⭐⭐⭐⭐ Favorable,WIN,4 - 2,6,2026-08-25T14:37:47.039876
822695,2026-08-24,Colorado Rockies @ Washington Nationals,Cade Cavalli,3.22,Ryan Feltner,5.97,MONEYLINE,Washington Nationals,67.4%,82.11,N/A,FAVORABLE,⭐⭐⭐⭐ Favorable,WIN,3 - 13,3 a 13 (V-L),2026-08-25T14:37:47.039880
822695,2026-08-24,Colorado Rockies @ Washington Nationals,Cade Cavalli,3.22,Ryan Feltner,5.97,TOTALS,OVER,68.5%,87.6,8.5,FAVORITO_FUERTE,⭐⭐⭐⭐⭐ Favorito fuerte,WIN,3 - 13,16,2026-08-25T14:37:47.039884
824557,2026-08-24,Texas Rangers @ Chicago White Sox,José Urquidy,5.06,Kumar Rocker,4.46,MONEYLINE,Chicago White Sox,50.8%,0.0,N/A,NO_PLAY_PITCHER,⛔ No Play (Pitcher Novato),LOSS,11 - 2,11 a 2 (V-L),2026-08-25T14:37:47.039887
824557,2026-08-24,Texas Rangers @ Chicago White Sox,José Urquidy,5.06,Kumar Rocker,4.46,TOTALS,UNDER,59.7%,0.0,8.5,NO_PLAY_PITCHER,⛔ No Play (Pitcher Novato),LOSS,11 - 2,13,2026-08-25T14:37:47.039889
823992,2026-08-24,Cleveland Guardians @ Los Angeles Angels,George Klassen,3.74,Parker Messick,2.54,MONEYLINE,Cleveland Guardians,71.4%,0.0,N/A,NO_PLAY_PITCHER,⛔ No Play (Pitcher Novato),WIN,4 - 2,4 a 2 (V-L),2026-08-25T14:37:47.039892
823992,2026-08-24,Cleveland Guardians @ Los Angeles Angels,George Klassen,3.74,Parker Messick,2.54,TOTALS,UNDER,84.6%,0.0,8.0,NO_PLAY_PITCHER,⛔ No Play (Pitcher Novato),WIN,4 - 2,6,2026-08-25T14:37:47.039895
