game_id,date,matchup,market,target,probability_pct,line_value,actual_value,actual_outcome,is_correct,is_push
824395,2026-08-20,San Francisco Giants @ Cleveland Guardians,MONEYLINE,Cleveland Guardians,65.2,0.0,2 a 5 (V-L),home,True,False
824395,2026-08-20,San Francisco Giants @ Cleveland Guardians,TOTALS,OVER,62.1,7.0,7.0,UNDER,False,True
822934,2026-08-20,Toronto Blue Jays @ Tampa Bay Rays,MONEYLINE,Tampa Bay Rays,62.7,0.0,5 a 1 (V-L),away,False,False
822934,2026-08-20,Toronto Blue Jays @ Tampa Bay Rays,TOTALS,OVER,64.6,7.0,6.0,UNDER,False,False
824074,2026-08-20,Athletics @ Kansas City Royals,MONEYLINE,Kansas City Royals,71.2,0.0,2 a 6 (V-L),home,True,False
824074,2026-08-20,Athletics @ Kansas City Royals,TOTALS,UNDER,70.9,8.0,8.0,UNDER,False,True
824589,2026-08-20,Atlanta Braves @ Chicago White Sox,MONEYLINE,Atlanta Braves,50.1,0.0,2 a 0 (V-L),away,True,False
824589,2026-08-20,Atlanta Braves @ Chicago White Sox,TOTALS,UNDER,66.5,8.5,2.0,UNDER,True,False
823747,2026-08-20,Seattle Mariners @ Milwaukee Brewers,MONEYLINE,Milwaukee Brewers,61.4,0.0,4 a 7 (V-L),home,True,False
823747,2026-08-20,Seattle Mariners @ Milwaukee Brewers,TOTALS,UNDER,57.5,8.0,11.0,OVER,False,False
824802,2026-08-20,New York Yankees @ Baltimore Orioles,MONEYLINE,New York Yankees,63.8,0.0,6 a 1 (V-L),away,True,False
824802,2026-08-20,New York Yankees @ Baltimore Orioles,TOTALS,UNDER,62.0,7.5,7.0,UNDER,True,False
822861,2026-08-20,Washington Nationals @ Texas Rangers,MONEYLINE,Washington Nationals,59.5,0.0,0 a 2 (V-L),home,False,False
822861,2026-08-20,Washington Nationals @ Texas Rangers,TOTALS,OVER,56.6,7.5,2.0,UNDER,False,False
824153,2026-08-20,Los Angeles Angels @ Houston Astros,MONEYLINE,Houston Astros,62.6,0.0,18 a 3 (V-L),away,False,False
824153,2026-08-20,Los Angeles Angels @ Houston Astros,TOTALS,UNDER,52.8,8.5,21.0,OVER,False,False
