id,fecha,partido,equipo_local,equipo_visitante,hora_inicio,estadio,abridor_local,era_local,abridor_visitante,era_visitante,mercado,ganador_proyectado,probabilidad_local,probabilidad_visitante,diferencia_probabilidad,solidez_modelo,marcador_proyectado,evaluacion,estado,generado_en,version_modelo,estado_es,evaluacion_es,mercado_es,total_carreras_esperadas,linea_mercado_ou,lado_recomendado_ou,probabilidad_over_ou,probabilidad_under_ou,origen_linea_ou
824643,2026-08-14,St. Louis Cardinals @ Chicago Cubs,Chicago Cubs,St. Louis Cardinals,2026-08-14,Wrigley Field,Clay Holmes,0.0,Matthew Liberatore,0.0,Ganador del partido,N/A,N/A,N/A,N/A,N/A,N/A,N/A,FINAL,2026-08-14T22:14:14.178391,1.0.0,Juego finalizado,N/A,Ganador del partido,,,,,,
824643,2026-08-14,St. Louis Cardinals @ Chicago Cubs,Chicago Cubs,St. Louis Cardinals,2026-08-14,Wrigley Field,Clay Holmes,0.0,Matthew Liberatore,0.0,Más/Menos carreras,N/A,N/A,N/A,N/A,N/A,N/A,N/A,FINAL,2026-08-14T22:14:14.178406,1.0.0,Juego finalizado,N/A,Más/Menos carreras,,,,,,
824479,2026-08-14,Miami Marlins @ Cincinnati Reds,Cincinnati Reds,Miami Marlins,2026-08-14,Great American Ball Park,Chase Burns,2.61,Sandy Alcantara,3.52,Ganador del partido,Miami Marlins,49.7%,50.3%,0.5%,50.4,N/A,⭐ Partido cerrado,READY,2026-08-14T22:14:14.395416,1.0.0,Listo para analizar,⭐ Partido cerrado,Ganador del partido,,,,,,
824479,2026-08-14,Miami Marlins @ Cincinnati Reds,Cincinnati Reds,Miami Marlins,2026-08-14,Great American Ball Park,Chase Burns,2.61,Sandy Alcantara,3.52,Más/Menos carreras,N/A,40.9%,59.1%,18.2%,79.78,N/A,⭐⭐⭐⭐ Favorable,READY,2026-08-14T22:14:14.395434,1.0.0,Listo para analizar,⭐⭐⭐⭐ Favorable,Más/Menos carreras,7.05,7.5,UNDER,40.9,59.1,MARKET
823346,2026-08-14,Boston Red Sox @ Pittsburgh Pirates,Pittsburgh Pirates,Boston Red Sox,2026-08-14,PNC Park,Bubba Chandler,4.26,Jake Bennett,3.17,Ganador del partido,Boston Red Sox,40.2%,59.8%,19.5%,78.61,N/A,⭐⭐⭐⭐ Favorable,READY,2026-08-14T22:14:14.573749,1.0.0,Listo para analizar,⭐⭐⭐⭐ Favorable,Ganador del partido,,,,,,
823346,2026-08-14,Boston Red Sox @ Pittsburgh Pirates,Pittsburgh Pirates,Boston Red Sox,2026-08-14,PNC Park,Bubba Chandler,4.26,Jake Bennett,3.17,Más/Menos carreras,N/A,35.4%,64.6%,29.2%,91.68,N/A,⭐⭐⭐⭐⭐ Favorito fuerte,READY,2026-08-14T22:14:14.573762,1.0.0,Listo para analizar,⭐⭐⭐⭐⭐ Favorito fuerte,Más/Menos carreras,7.26,8.0,UNDER,35.4,64.6,MARKET
824237,2026-08-14,Chicago White Sox @ Detroit Tigers,Detroit Tigers,Chicago White Sox,2026-08-14,Comerica Park,Jackson Jobe,0.0,Sean Newcomb,2.66,Ganador del partido,Detroit Tigers,52.5%,47.5%,4.9%,0.0,N/A,NO_PLAY,READY,2026-08-14T22:14:14.715014,1.0.0,Listo para analizar,NO_PLAY,Ganador del partido,,,,,,
824237,2026-08-14,Chicago White Sox @ Detroit Tigers,Detroit Tigers,Chicago White Sox,2026-08-14,Comerica Park,Jackson Jobe,0.0,Sean Newcomb,2.66,Más/Menos carreras,N/A,2.0%,98.0%,96.0%,0.0,N/A,NO_PLAY,READY,2026-08-14T22:14:14.715025,1.0.0,Listo para analizar,NO_PLAY,Más/Menos carreras,3.94,8.5,UNDER,2.0,98.0,MARKET
823591,2026-08-14,Washington Nationals @ New York Mets,New York Mets,Washington Nationals,2026-08-14,Citi Field,Robert Stock,10.13,Andrew Alvarez,3.76,Ganador del partido,Washington Nationals,37.4%,62.6%,25.2%,0.0,N/A,NO_PLAY,READY,2026-08-14T22:14:14.841183,1.0.0,Listo para analizar,NO_PLAY,Ganador del partido,,,,,,
823591,2026-08-14,Washington Nationals @ New York Mets,New York Mets,Washington Nationals,2026-08-14,Citi Field,Robert Stock,10.13,Andrew Alvarez,3.76,Más/Menos carreras,N/A,76.8%,23.2%,53.6%,0.0,N/A,NO_PLAY,READY,2026-08-14T22:14:14.841194,1.0.0,Listo para analizar,NO_PLAY,Más/Menos carreras,11.0,8.5,OVER,76.8,23.2,MARKET
