id,fecha,partido,equipo_local,equipo_visitante,hora_inicio,estadio,abridor_local,era_local,abridor_visitante,era_visitante,mercado,ganador_proyectado,probabilidad_local,probabilidad_visitante,diferencia_probabilidad,solidez_modelo,marcador_proyectado,evaluacion,estado,generado_en,version_modelo,estado_es,evaluacion_es,mercado_es,total_carreras_esperadas,linea_mercado_ou,lado_recomendado_ou,probabilidad_over_ou,probabilidad_under_ou,origen_linea_ou
822940,2026-08-16,Baltimore Orioles @ Tampa Bay Rays,Tampa Bay Rays,Baltimore Orioles,2026-08-16,Tropicana Field,Freddy Peralta,5.33,Trevor Rogers,4.21,Ganador del partido,Baltimore Orioles,45.7%,54.3%,8.6%,67.25,N/A,⭐ Partido cerrado,READY,2026-08-16T09:30:02.352921,1.0.0,Listo para analizar,⭐ Partido cerrado,Ganador del partido,,,,,,
822940,2026-08-16,Baltimore Orioles @ Tampa Bay Rays,Tampa Bay Rays,Baltimore Orioles,2026-08-16,Tropicana Field,Freddy Peralta,5.33,Trevor Rogers,4.21,Más/Menos carreras,N/A,62.9%,37.1%,25.8%,90.32,N/A,⭐⭐⭐⭐⭐ Favorito fuerte,READY,2026-08-16T09:30:02.352939,1.0.0,Listo para analizar,⭐⭐⭐⭐⭐ Favorito fuerte,Más/Menos carreras,8.62,7.5,OVER,62.9,37.1,MARKET
823344,2026-08-16,Boston Red Sox @ Pittsburgh Pirates,Pittsburgh Pirates,Boston Red Sox,2026-08-16,PNC Park,Lake Bachar,3.97,Patrick Sandoval,3.3,Ganador del partido,Boston Red Sox,49.0%,50.9%,1.9%,0.0,N/A,NO_PLAY,READY,2026-08-16T09:30:02.579943,1.0.0,Listo para analizar,NO_PLAY,Ganador del partido,,,,,,
823344,2026-08-16,Boston Red Sox @ Pittsburgh Pirates,Pittsburgh Pirates,Boston Red Sox,2026-08-16,PNC Park,Lake Bachar,3.97,Patrick Sandoval,3.3,Más/Menos carreras,N/A,26.5%,73.5%,47.0%,0.0,N/A,NO_PLAY,READY,2026-08-16T09:30:02.579955,1.0.0,Listo para analizar,NO_PLAY,Más/Menos carreras,6.95,8.5,UNDER,26.5,73.5,MARKET
824880,2026-08-16,Arizona Diamondbacks @ Atlanta Braves,Atlanta Braves,Arizona Diamondbacks,2026-08-16,Truist Park,Bryce Elder,4.03,Michael Soroka,2.92,Ganador del partido,Arizona Diamondbacks,48.5%,51.5%,3.1%,51.93,N/A,⭐ Partido cerrado,READY,2026-08-16T09:30:02.785876,1.0.0,Listo para analizar,⭐ Partido cerrado,Ganador del partido,,,,,,
824880,2026-08-16,Arizona Diamondbacks @ Atlanta Braves,Atlanta Braves,Arizona Diamondbacks,2026-08-16,Truist Park,Bryce Elder,4.03,Michael Soroka,2.92,Más/Menos carreras,N/A,24.8%,75.2%,50.4%,100.0,N/A,⭐⭐⭐⭐⭐ Favorito fuerte,READY,2026-08-16T09:30:02.785893,1.0.0,Listo para analizar,⭐⭐⭐⭐⭐ Favorito fuerte,Más/Menos carreras,6.82,8.5,UNDER,24.8,75.2,MARKET
822774,2026-08-16,New York Yankees @ Toronto Blue Jays,Toronto Blue Jays,New York Yankees,2026-08-16,Rogers Centre,Dylan Cease,2.4,Ryan Weathers,3.69,Ganador del partido,Toronto Blue Jays,50.8%,49.2%,1.6%,51.21,N/A,⭐ Partido cerrado,READY,2026-08-16T09:30:02.974879,1.0.0,Listo para analizar,⭐ Partido cerrado,Ganador del partido,,,,,,
822774,2026-08-16,New York Yankees @ Toronto Blue Jays,Toronto Blue Jays,New York Yankees,2026-08-16,Rogers Centre,Dylan Cease,2.4,Ryan Weathers,3.69,Más/Menos carreras,N/A,24.6%,75.4%,50.8%,100.0,N/A,⭐⭐⭐⭐⭐ Favorito fuerte,READY,2026-08-16T09:30:02.974895,1.0.0,Listo para analizar,⭐⭐⭐⭐⭐ Favorito fuerte,Más/Menos carreras,5.68,7.0,UNDER,24.6,75.4,MARKET
823590,2026-08-16,Washington Nationals @ New York Mets,New York Mets,Washington Nationals,2026-08-16,Citi Field,Christian Scott,3.45,Jake Irvin,5.79,Ganador del partido,New York Mets,60.6%,39.4%,21.2%,71.73,N/A,⭐⭐⭐ Ligera ventaja,READY,2026-08-16T09:30:03.164034,1.0.0,Listo para analizar,⭐⭐⭐ Ligera ventaja,Ganador del partido,,,,,,
823590,2026-08-16,Washington Nationals @ New York Mets,New York Mets,Washington Nationals,2026-08-16,Citi Field,Christian Scott,3.45,Jake Irvin,5.79,Más/Menos carreras,N/A,54.8%,45.2%,9.6%,60.14,N/A,⭐ Partido cerrado,READY,2026-08-16T09:30:03.164052,1.0.0,Listo para analizar,⭐ Partido cerrado,Más/Menos carreras,9.03,8.5,OVER,54.8,45.2,MARKET
