game_id,date,matchup,home_pitcher,home_era,away_pitcher,away_era,market,pick,model_prob,model_confidence,market_line,evaluation,evaluation_es,status,actual_score,actual_result,updated_at
824911,2026-08-31,San Francisco Giants @ Atlanta Braves,Martín Pérez,3.05,Landen Roupp,4.25,MONEYLINE,Atlanta Braves,78.0%,94.22,N/A,FAVORITO_FUERTE,⭐⭐⭐⭐⭐ Favorito fuerte,LOSS,7 - 3,7 a 3 (V-L),2026-09-01T20:30:05.248286
824911,2026-08-31,San Francisco Giants @ Atlanta Braves,Martín Pérez,3.05,Landen Roupp,4.25,TOTALS,UNDER,82.1%,100.0,8.0,FAVORITO_FUERTE,⭐⭐⭐⭐⭐ Favorito fuerte,LOSS,7 - 3,10,2026-09-01T20:30:05.248301
824911,2026-08-31,San Francisco Giants @ Atlanta Braves,Martín Pérez,3.05,Landen Roupp,4.25,TEAM_TOTAL_HOME_ALT_2.5,OVER,62.0%,89.6,2.5,FAVORITO_FUERTE,⭐⭐⭐⭐⭐ Favorito fuerte,WIN,7 - 3,3,2026-09-01T20:30:05.248307
824911,2026-08-31,San Francisco Giants @ Atlanta Braves,Martín Pérez,3.05,Landen Roupp,4.25,TEAM_TOTAL_HOME_ALT_3.5,UNDER,60.3%,88.24,3.5,FAVORITO_FUERTE,⭐⭐⭐⭐⭐ Favorito fuerte,WIN,7 - 3,3,2026-09-01T20:30:05.248311
824911,2026-08-31,San Francisco Giants @ Atlanta Braves,Martín Pérez,3.05,Landen Roupp,4.25,TEAM_TOTAL_AWAY_ALT_2.5,OVER,54.7%,67.26,2.5,PARTIDO_CERRADO,⭐ Partido cerrado,WIN,7 - 3,7,2026-09-01T20:30:05.248315
824911,2026-08-31,San Francisco Giants @ Atlanta Braves,Martín Pérez,3.05,Landen Roupp,4.25,TEAM_TOTAL_AWAY_ALT_3.5,UNDER,67.6%,94.08,3.5,FAVORITO_FUERTE,⭐⭐⭐⭐⭐ Favorito fuerte,LOSS,7 - 3,7,2026-09-01T20:30:05.248318
824911,2026-08-31,San Francisco Giants @ Atlanta Braves,Martín Pérez,3.05,Landen Roupp,4.25,FIRST_INNING,YRFI,54.6%,67.19,0.5,PARTIDO_CERRADO,⭐ Partido cerrado,READY,,,2026-08-31T20:00:01.833110
824473,2026-08-31,San Diego Padres @ Cincinnati Reds,Brady Singer,4.72,Michael King,3.23,MONEYLINE,San Diego Padres,62.5%,79.71,N/A,FAVORABLE,⭐⭐⭐⭐ Favorable,WIN,5 - 0,5 a 0 (V-L),2026-09-01T20:30:05.248325
824473,2026-08-31,San Diego Padres @ Cincinnati Reds,Brady Singer,4.72,Michael King,3.23,TOTALS,UNDER,62.2%,89.76,9.0,FAVORITO_FUERTE,⭐⭐⭐⭐⭐ Favorito fuerte,WIN,5 - 0,5,2026-09-01T20:30:05.248328
824473,2026-08-31,San Diego Padres @ Cincinnati Reds,Brady Singer,4.72,Michael King,3.23,TEAM_TOTAL_HOME_ALT_2.5,OVER,89.0%,100.0,2.5,FAVORITO_FUERTE,⭐⭐⭐⭐⭐ Favorito fuerte,LOSS,5 - 0,0,2026-09-01T20:30:05.248344
824473,2026-08-31,San Diego Padres @ Cincinnati Reds,Brady Singer,4.72,Michael King,3.23,TEAM_TOTAL_HOME_ALT_3.5,OVER,75.9%,100.0,3.5,FAVORITO_FUERTE,⭐⭐⭐⭐⭐ Favorito fuerte,LOSS,5 - 0,0,2026-09-01T20:30:05.248347
824473,2026-08-31,San Diego Padres @ Cincinnati Reds,Brady Singer,4.72,Michael King,3.23,TEAM_TOTAL_AWAY_ALT_2.5,OVER,61.8%,89.44,2.5,FAVORITO_FUERTE,⭐⭐⭐⭐⭐ Favorito fuerte,WIN,5 - 0,5,2026-09-01T20:30:05.248350
824473,2026-08-31,San Diego Padres @ Cincinnati Reds,Brady Singer,4.72,Michael King,3.23,TEAM_TOTAL_AWAY_ALT_3.5,UNDER,60.5%,88.4,3.5,FAVORITO_FUERTE,⭐⭐⭐⭐⭐ Favorito fuerte,LOSS,5 - 0,5,2026-09-01T20:30:05.248353
824473,2026-08-31,San Diego Padres @ Cincinnati Reds,Brady Singer,4.72,Michael King,3.23,FIRST_INNING,YRFI,57.6%,78.62,0.5,FAVORABLE,⭐⭐⭐⭐ Favorable,READY,,,2026-08-31T20:00:02.022445
822932,2026-08-31,New York Mets @ Tampa Bay Rays,Ian Seymour,4.21,Robert Stock,7.4,MONEYLINE,Tampa Bay Rays,78.0%,0.0,N/A,NO_PLAY_PITCHER,⛔ No Play (Pitcher Novato),LOSS,3 - 2,3 a 2 (V-L),2026-09-01T20:30:05.248357
