game_id,date,matchup,market,target,probability_pct,line_value,actual_value,actual_outcome,is_correct,is_push
824479,2026-08-14,Miami Marlins @ Cincinnati Reds,MONEYLINE,Miami Marlins,50.3,0.0,0 a 1 (V-L),home,False,False
824479,2026-08-14,Miami Marlins @ Cincinnati Reds,TOTALS,UNDER,59.1,7.5,1.0,UNDER,True,False
823346,2026-08-14,Boston Red Sox @ Pittsburgh Pirates,MONEYLINE,Boston Red Sox,59.8,0.0,4 a 8 (V-L),home,False,False
823346,2026-08-14,Boston Red Sox @ Pittsburgh Pirates,TOTALS,UNDER,64.6,8.0,12.0,OVER,False,False
824237,2026-08-14,Chicago White Sox @ Detroit Tigers,MONEYLINE,Detroit Tigers,52.5,0.0,9 a 5 (V-L),away,False,False
824237,2026-08-14,Chicago White Sox @ Detroit Tigers,TOTALS,UNDER,98.0,8.5,14.0,OVER,False,False
823591,2026-08-14,Washington Nationals @ New York Mets,MONEYLINE,Washington Nationals,62.6,0.0,1 a 4 (V-L),home,False,False
823591,2026-08-14,Washington Nationals @ New York Mets,TOTALS,OVER,76.8,8.5,5.0,UNDER,False,False
824399,2026-08-14,San Diego Padres @ Cleveland Guardians,MONEYLINE,San Diego Padres,53.3,0.0,7 a 5 (V-L),away,True,False
824399,2026-08-14,San Diego Padres @ Cleveland Guardians,TOTALS,UNDER,56.9,7.0,12.0,OVER,False,False
822942,2026-08-14,Baltimore Orioles @ Tampa Bay Rays,MONEYLINE,Tampa Bay Rays,68.2,0.0,6 a 5 (V-L),away,False,False
822942,2026-08-14,Baltimore Orioles @ Tampa Bay Rays,TOTALS,OVER,75.3,8.0,11.0,OVER,True,False
824882,2026-08-14,Arizona Diamondbacks @ Atlanta Braves,MONEYLINE,Atlanta Braves,52.8,0.0,2 a 0 (V-L),away,False,False
824882,2026-08-14,Arizona Diamondbacks @ Atlanta Braves,TOTALS,UNDER,78.8,8.0,2.0,UNDER,True,False
822777,2026-08-14,New York Yankees @ Toronto Blue Jays,MONEYLINE,New York Yankees,66.0,0.0,1 a 3 (V-L),home,False,False
822777,2026-08-14,New York Yankees @ Toronto Blue Jays,TOTALS,UNDER,57.1,8.0,4.0,UNDER,True,False
824159,2026-08-14,Seattle Mariners @ Houston Astros,MONEYLINE,Houston Astros,59.8,0.0,7 a 10 (V-L),home,True,False
824159,2026-08-14,Seattle Mariners @ Houston Astros,TOTALS,UNDER,68.2,8.0,17.0,OVER,False,False
823993,2026-08-14,Kansas City Royals @ Los Angeles Angels,MONEYLINE,Kansas City Royals,61.5,0.0,7 a 6 (V-L),away,True,False
823993,2026-08-14,Kansas City Royals @ Los Angeles Angels,TOTALS,OVER,62.1,8.5,13.0,OVER,True,False
823913,2026-08-14,Milwaukee Brewers @ Los Angeles Dodgers,MONEYLINE,Los Angeles Dodgers,58.9,0.0,1 a 3 (V-L),home,True,False
823913,2026-08-14,Milwaukee Brewers @ Los Angeles Dodgers,TOTALS,UNDER,51.0,7.5,4.0,UNDER,True,False
823185,2026-08-14,Colorado Rockies @ San Francisco Giants,MONEYLINE,San Francisco Giants,56.5,0.0,5 a 2 (V-L),away,False,False
823185,2026-08-14,Colorado Rockies @ San Francisco Giants,TOTALS,OVER,79.7,7.5,7.0,UNDER,False,False
