game_id,date,matchup,home_pitcher,home_era,away_pitcher,away_era,market,pick,model_prob,model_confidence,market_line,evaluation,evaluation_es,status,actual_score,actual_result,updated_at
824233,2026-08-25,Tampa Bay Rays @ Detroit Tigers,Jackson Jobe,4.5,Casey Legumina,3.99,MONEYLINE,Tampa Bay Rays,59.6%,0.0,N/A,NO_PLAY_PITCHER,⛔ No Play (Pitcher Novato),LOSS,1 - 4,1 a 4 (V-L),2026-08-26T20:00:06.641008
824233,2026-08-25,Tampa Bay Rays @ Detroit Tigers,Jackson Jobe,4.5,Casey Legumina,3.99,TOTALS,OVER,69.3%,0.0,7.5,NO_PLAY_PITCHER,⛔ No Play (Pitcher Novato),LOSS,1 - 4,5,2026-08-26T20:00:06.641024
824233,2026-08-25,Tampa Bay Rays @ Detroit Tigers,Jackson Jobe,4.5,Casey Legumina,3.99,TEAM_TOTAL_HOME_ALT_2.5,OVER,85.7%,0.0,2.5,NO_PLAY_PITCHER,⛔ No Play (Pitcher Novato),WIN,1 - 4,4,2026-08-26T20:00:06.641029
824233,2026-08-25,Tampa Bay Rays @ Detroit Tigers,Jackson Jobe,4.5,Casey Legumina,3.99,TEAM_TOTAL_HOME_ALT_3.5,OVER,70.6%,0.0,3.5,NO_PLAY_PITCHER,⛔ No Play (Pitcher Novato),WIN,1 - 4,4,2026-08-26T20:00:06.641034
824233,2026-08-25,Tampa Bay Rays @ Detroit Tigers,Jackson Jobe,4.5,Casey Legumina,3.99,TEAM_TOTAL_AWAY_ALT_2.5,OVER,80.9%,0.0,2.5,NO_PLAY_PITCHER,⛔ No Play (Pitcher Novato),LOSS,1 - 4,1,2026-08-26T20:00:06.641044
824233,2026-08-25,Tampa Bay Rays @ Detroit Tigers,Jackson Jobe,4.5,Casey Legumina,3.99,TEAM_TOTAL_AWAY_ALT_3.5,OVER,63.2%,0.0,3.5,NO_PLAY_PITCHER,⛔ No Play (Pitcher Novato),LOSS,1 - 4,1,2026-08-26T20:00:06.641056
823826,2026-08-25,Boston Red Sox @ Miami Marlins,Tyler Phillips,3.67,Payton Tolle,3.08,MONEYLINE,Boston Red Sox,55.2%,60.47,N/A,PARTIDO_CERRADO,⭐ Partido cerrado,WIN,7 - 3,7 a 3 (V-L),2026-08-26T20:00:06.641062
823826,2026-08-25,Boston Red Sox @ Miami Marlins,Tyler Phillips,3.67,Payton Tolle,3.08,TOTALS,OVER,52.9%,45.12,7.0,PARTIDO_CERRADO,⭐ Partido cerrado,WIN,7 - 3,10,2026-08-26T20:00:06.641066
823826,2026-08-25,Boston Red Sox @ Miami Marlins,Tyler Phillips,3.67,Payton Tolle,3.08,TEAM_TOTAL_HOME_ALT_2.5,OVER,75.1%,92.8,2.5,FAVORITO_FUERTE,⭐⭐⭐⭐⭐ Favorito fuerte,WIN,7 - 3,3,2026-08-26T20:00:06.641070
823826,2026-08-25,Boston Red Sox @ Miami Marlins,Tyler Phillips,3.67,Payton Tolle,3.08,TEAM_TOTAL_HOME_ALT_3.5,OVER,55.3%,60.54,3.5,PARTIDO_CERRADO,⭐ Partido cerrado,LOSS,7 - 3,3,2026-08-26T20:00:06.641074
