game_id,date,matchup,market,target,probability_pct,line_value,actual_value,actual_outcome,is_correct,is_push
823509,2026-08-22,Toronto Blue Jays @ New York Yankees,MONEYLINE,New York Yankees,52.5,0.0,4 a 3 (V-L),away,False,False
823509,2026-08-22,Toronto Blue Jays @ New York Yankees,TOTALS,UNDER,66.4,6.5,7.0,OVER,False,False
823743,2026-08-22,Atlanta Braves @ Milwaukee Brewers,MONEYLINE,Milwaukee Brewers,52.8,0.0,1 a 4 (V-L),home,True,False
823743,2026-08-22,Atlanta Braves @ Milwaukee Brewers,TOTALS,UNDER,81.1,8.0,5.0,UNDER,True,False
823831,2026-08-22,Washington Nationals @ Miami Marlins,MONEYLINE,Miami Marlins,58.6,0.0,2 a 4 (V-L),home,True,False
823831,2026-08-22,Washington Nationals @ Miami Marlins,TOTALS,OVER,62.5,7.5,6.0,UNDER,False,False
823422,2026-08-22,St. Louis Cardinals @ Philadelphia Phillies,MONEYLINE,St. Louis Cardinals,62.5,0.0,3 a 12 (V-L),home,False,False
823422,2026-08-22,St. Louis Cardinals @ Philadelphia Phillies,TOTALS,UNDER,62.1,9.0,15.0,OVER,False,False
824798,2026-08-22,Tampa Bay Rays @ Baltimore Orioles,MONEYLINE,Tampa Bay Rays,51.4,0.0,2 a 3 (V-L),home,False,False
824798,2026-08-22,Tampa Bay Rays @ Baltimore Orioles,TOTALS,UNDER,52.1,8.0,5.0,UNDER,True,False
822858,2026-08-22,Los Angeles Angels @ Texas Rangers,MONEYLINE,Texas Rangers,66.2,0.0,3 a 0 (V-L),away,False,False
822858,2026-08-22,Los Angeles Angels @ Texas Rangers,TOTALS,UNDER,64.3,8.5,3.0,UNDER,True,False
824151,2026-08-22,Athletics @ Houston Astros,MONEYLINE,Houston Astros,55.7,0.0,4 a 3 (V-L),away,False,False
824151,2026-08-22,Athletics @ Houston Astros,TOTALS,OVER,62.6,8.0,7.0,UNDER,False,False
824560,2026-08-22,New York Mets @ Chicago White Sox,MONEYLINE,New York Mets,55.6,0.0,10 a 5 (V-L),away,True,False
824560,2026-08-22,New York Mets @ Chicago White Sox,TOTALS,UNDER,58.0,8.5,15.0,OVER,False,False
824073,2026-08-22,Detroit Tigers @ Kansas City Royals,MONEYLINE,Kansas City Royals,53.8,0.0,1 a 3 (V-L),home,True,False
824073,2026-08-22,Detroit Tigers @ Kansas City Royals,TOTALS,UNDER,64.6,8.5,4.0,UNDER,True,False
823910,2026-08-22,Pittsburgh Pirates @ Los Angeles Dodgers,MONEYLINE,Los Angeles Dodgers,65.0,0.0,3 a 4 (V-L),home,True,False
823910,2026-08-22,Pittsburgh Pirates @ Los Angeles Dodgers,TOTALS,UNDER,53.5,7.5,7.0,UNDER,True,False
823100,2026-08-22,Chicago Cubs @ Seattle Mariners,MONEYLINE,Chicago Cubs,61.1,0.0,4 a 5 (V-L),home,False,False
823100,2026-08-22,Chicago Cubs @ Seattle Mariners,TOTALS,OVER,76.2,7.5,9.0,OVER,True,False
824718,2026-08-22,San Francisco Giants @ Boston Red Sox,MONEYLINE,Boston Red Sox,60.1,0.0,2 a 3 (V-L),home,True,False
824718,2026-08-22,San Francisco Giants @ Boston Red Sox,TOTALS,OVER,50.1,8.0,5.0,UNDER,False,False
825044,2026-08-22,Cincinnati Reds @ Arizona Diamondbacks,MONEYLINE,Arizona Diamondbacks,62.5,0.0,11 a 5 (V-L),away,False,False
825044,2026-08-22,Cincinnati Reds @ Arizona Diamondbacks,TOTALS,UNDER,51.7,8.0,16.0,OVER,False,False
824316,2026-08-22,Cleveland Guardians @ Colorado Rockies,MONEYLINE,Cleveland Guardians,64.9,0.0,4 a 3 (V-L),away,True,False
824316,2026-08-22,Cleveland Guardians @ Colorado Rockies,TOTALS,UNDER,60.6,11.0,7.0,UNDER,True,False
823261,2026-08-22,Minnesota Twins @ San Diego Padres,MONEYLINE,San Diego Padres,60.0,0.0,5 a 7 (V-L),home,True,False
823261,2026-08-22,Minnesota Twins @ San Diego Padres,TOTALS,OVER,53.2,8.0,12.0,OVER,True,False
