game_id,date,matchup,home_pitcher,home_era,away_pitcher,away_era,market,pick,model_prob,model_confidence,market_line,evaluation,evaluation_es,status,actual_score,actual_result,updated_at
822688,2026-08-30,Miami Marlins @ Washington Nationals,Andrew Alvarez,3.72,Janson Junk,4.21,MONEYLINE,Miami Marlins,50.4%,43.37,N/A,PARTIDO_CERRADO,⭐ Partido cerrado,WIN,6 - 2,6 a 2 (V-L),2026-08-31T20:00:03.731681
822688,2026-08-30,Miami Marlins @ Washington Nationals,Andrew Alvarez,3.72,Janson Junk,4.21,TOTALS,UNDER,63.6%,83.68,9.0,FAVORABLE,⭐⭐⭐⭐ Favorable,WIN,6 - 2,8,2026-08-31T20:00:03.731697
822688,2026-08-30,Miami Marlins @ Washington Nationals,Andrew Alvarez,3.72,Janson Junk,4.21,TEAM_TOTAL_HOME_ALT_2.5,OVER,77.5%,92.8,2.5,FAVORITO_FUERTE,⭐⭐⭐⭐⭐ Favorito fuerte,LOSS,6 - 2,2,2026-08-31T20:00:03.731702
822688,2026-08-30,Miami Marlins @ Washington Nationals,Andrew Alvarez,3.72,Janson Junk,4.21,TEAM_TOTAL_HOME_ALT_3.5,OVER,58.4%,72.02,3.5,LIGERA_VENTAJA,⭐⭐⭐ Ligera ventaja,LOSS,6 - 2,2,2026-08-31T20:00:03.731706
822688,2026-08-30,Miami Marlins @ Washington Nationals,Andrew Alvarez,3.72,Janson Junk,4.21,TEAM_TOTAL_AWAY_ALT_2.5,OVER,78.8%,92.8,2.5,FAVORITO_FUERTE,⭐⭐⭐⭐⭐ Favorito fuerte,WIN,6 - 2,6,2026-08-31T20:00:03.731709
822688,2026-08-30,Miami Marlins @ Washington Nationals,Andrew Alvarez,3.72,Janson Junk,4.21,TEAM_TOTAL_AWAY_ALT_3.5,OVER,60.3%,81.04,3.5,FAVORABLE,⭐⭐⭐⭐ Favorable,WIN,6 - 2,6,2026-08-31T20:00:03.731712
824876,2026-08-30,Colorado Rockies @ Atlanta Braves,Tyler Mahle,4.41,Mason Adams,2.25,MONEYLINE,Colorado Rockies,50.1%,0.0,N/A,NO_PLAY_PITCHER,⛔ No Play (Pitcher Novato),LOSS,2 - 3,2 a 3 (V-L),2026-08-31T20:00:03.731716
824876,2026-08-30,Colorado Rockies @ Atlanta Braves,Tyler Mahle,4.41,Mason Adams,2.25,TOTALS,UNDER,57.8%,0.0,8.5,NO_PLAY_PITCHER,⛔ No Play (Pitcher Novato),WIN,2 - 3,5,2026-08-31T20:00:03.731719
824876,2026-08-30,Colorado Rockies @ Atlanta Braves,Tyler Mahle,4.41,Mason Adams,2.25,TEAM_TOTAL_HOME_ALT_2.5,OVER,74.5%,0.0,2.5,NO_PLAY_PITCHER,⛔ No Play (Pitcher Novato),WIN,2 - 3,3,2026-08-31T20:00:03.731722
824876,2026-08-30,Colorado Rockies @ Atlanta Braves,Tyler Mahle,4.41,Mason Adams,2.25,TEAM_TOTAL_HOME_ALT_3.5,OVER,54.5%,0.0,3.5,NO_PLAY_PITCHER,⛔ No Play (Pitcher Novato),LOSS,2 - 3,3,2026-08-31T20:00:03.731724
824876,2026-08-30,Colorado Rockies @ Atlanta Braves,Tyler Mahle,4.41,Mason Adams,2.25,TEAM_TOTAL_AWAY_ALT_2.5,OVER,79.1%,0.0,2.5,NO_PLAY_PITCHER,⛔ No Play (Pitcher Novato),LOSS,2 - 3,2,2026-08-31T20:00:03.731727
