id,fecha,partido,equipo_local,equipo_visitante,hora_inicio,estadio,abridor_local,era_local,abridor_visitante,era_visitante,mercado,ganador_proyectado,probabilidad_local,probabilidad_visitante,diferencia_probabilidad,solidez_modelo,marcador_proyectado,evaluacion,estado,generado_en,version_modelo,estado_es,evaluacion_es,mercado_es,total_carreras_esperadas,linea_mercado_ou,lado_recomendado_ou,probabilidad_over_ou,probabilidad_under_ou,origen_linea_ou
823509,2026-08-22,Toronto Blue Jays @ New York Yankees,New York Yankees,Toronto Blue Jays,2026-08-22,Yankee Stadium,Ryan Weathers,3.56,Dylan Cease,2.42,Ganador del partido,New York Yankees,52.5%,47.5%,4.9%,66.18,N/A,⭐ Partido cerrado,IN_PROGRESS,2026-08-22T14:30:01.713531,1.0.0,IN_PROGRESS,⭐ Partido cerrado,Ganador del partido,,,,,,
823509,2026-08-22,Toronto Blue Jays @ New York Yankees,New York Yankees,Toronto Blue Jays,2026-08-22,Yankee Stadium,Ryan Weathers,3.56,Dylan Cease,2.42,Más/Menos carreras,N/A,33.6%,66.4%,32.8%,93.12,N/A,⭐⭐⭐⭐⭐ Favorito fuerte,IN_PROGRESS,2026-08-22T14:30:01.713552,1.0.0,IN_PROGRESS,⭐⭐⭐⭐⭐ Favorito fuerte,Más/Menos carreras,5.64,6.5,UNDER,33.6,66.4,MARKET
823743,2026-08-22,Atlanta Braves @ Milwaukee Brewers,Milwaukee Brewers,Atlanta Braves,2026-08-22,American Family Field,Logan Henderson,2.7,Martín Pérez,3.15,Ganador del partido,Milwaukee Brewers,52.8%,47.2%,5.6%,59.19,N/A,⭐ Partido cerrado,IN_PROGRESS,2026-08-22T17:30:01.644289,1.0.0,IN_PROGRESS,⭐ Partido cerrado,Ganador del partido,,,,,,
823743,2026-08-22,Atlanta Braves @ Milwaukee Brewers,Milwaukee Brewers,Atlanta Braves,2026-08-22,American Family Field,Logan Henderson,2.7,Martín Pérez,3.15,Más/Menos carreras,N/A,18.9%,81.1%,62.2%,92.8,N/A,⭐⭐⭐⭐⭐ Favorito fuerte,IN_PROGRESS,2026-08-22T17:30:01.644309,1.0.0,IN_PROGRESS,⭐⭐⭐⭐⭐ Favorito fuerte,Más/Menos carreras,6.15,8.0,UNDER,18.9,81.1,MARKET
823831,2026-08-22,Washington Nationals @ Miami Marlins,Miami Marlins,Washington Nationals,2026-08-22,loanDepot park,Eury Pérez,3.23,Jake Irvin,5.8,Ganador del partido,Miami Marlins,58.6%,41.4%,17.2%,78.15,N/A,⭐⭐⭐⭐ Favorable,IN_PROGRESS,2026-08-22T17:30:01.757913,1.0.0,IN_PROGRESS,⭐⭐⭐⭐ Favorable,Ganador del partido,,,,,,
823831,2026-08-22,Washington Nationals @ Miami Marlins,Miami Marlins,Washington Nationals,2026-08-22,loanDepot park,Eury Pérez,3.23,Jake Irvin,5.8,Más/Menos carreras,N/A,62.5%,37.5%,25.0%,90.0,N/A,⭐⭐⭐⭐⭐ Favorito fuerte,IN_PROGRESS,2026-08-22T17:30:01.757929,1.0.0,IN_PROGRESS,⭐⭐⭐⭐⭐ Favorito fuerte,Más/Menos carreras,8.58,7.5,OVER,62.5,37.5,MARKET
823422,2026-08-22,St. Louis Cardinals @ Philadelphia Phillies,Philadelphia Phillies,St. Louis Cardinals,2026-08-22,Citizens Bank Park,Andrew Painter,6.43,Quinn Mathews,3.0,Ganador del partido,St. Louis Cardinals,37.5%,62.5%,25.0%,72.5,N/A,⭐⭐⭐ Ligera ventaja,READY,2026-08-22T20:30:02.047372,1.0.0,Listo para analizar,⭐⭐⭐ Ligera ventaja,Ganador del partido,,,,,,
823422,2026-08-22,St. Louis Cardinals @ Philadelphia Phillies,Philadelphia Phillies,St. Louis Cardinals,2026-08-22,Citizens Bank Park,Andrew Painter,6.43,Quinn Mathews,3.0,Más/Menos carreras,N/A,37.9%,62.1%,24.2%,82.48,N/A,⭐⭐⭐⭐ Favorable,READY,2026-08-22T20:30:02.047390,1.0.0,Listo para analizar,⭐⭐⭐⭐ Favorable,Más/Menos carreras,8.37,9.0,UNDER,37.9,62.1,MARKET
824798,2026-08-22,Tampa Bay Rays @ Baltimore Orioles,Baltimore Orioles,Tampa Bay Rays,2026-08-22,Oriole Park at Camden Yards,Brandon Young,3.52,Shane McClanahan,3.25,Ganador del partido,Tampa Bay Rays,48.6%,51.4%,2.7%,51.77,N/A,⭐ Partido cerrado,READY,2026-08-22T20:30:02.214711,1.0.0,Listo para analizar,⭐ Partido cerrado,Ganador del partido,,,,,,
824798,2026-08-22,Tampa Bay Rays @ Baltimore Orioles,Baltimore Orioles,Tampa Bay Rays,2026-08-22,Oriole Park at Camden Yards,Brandon Young,3.52,Shane McClanahan,3.25,Más/Menos carreras,N/A,47.9%,52.1%,4.2%,51.68,N/A,⭐ Partido cerrado,READY,2026-08-22T20:30:02.214725,1.0.0,Listo para analizar,⭐ Partido cerrado,Más/Menos carreras,8.03,8.0,UNDER,47.9,52.1,MARKET
822858,2026-08-22,Los Angeles Angels @ Texas Rangers,Texas Rangers,Los Angeles Angels,2026-08-22,Globe Life Field,Cody Bradford,2.93,Ryan Johnson,6.41,Ganador del partido,Texas Rangers,66.2%,33.8%,32.3%,0.0,N/A,NO_PLAY,READY,2026-08-22T20:30:02.287108,1.0.0,Listo para analizar,NO_PLAY,Ganador del partido,,,,,,
822858,2026-08-22,Los Angeles Angels @ Texas Rangers,Texas Rangers,Los Angeles Angels,2026-08-22,Globe Life Field,Cody Bradford,2.93,Ryan Johnson,6.41,Más/Menos carreras,N/A,35.7%,64.3%,28.6%,0.0,N/A,NO_PLAY,READY,2026-08-22T20:30:02.287121,1.0.0,Listo para analizar,NO_PLAY,Más/Menos carreras,7.64,8.5,UNDER,35.7,64.3,MARKET
824151,2026-08-22,Athletics @ Houston Astros,Houston Astros,Athletics,2026-08-22,Daikin Park,Hunter Brown,3.67,Jacob Lopez,5.22,Ganador del partido,Houston Astros,55.7%,44.3%,11.5%,60.73,N/A,⭐ Partido cerrado,READY,2026-08-22T20:30:02.371805,1.0.0,Listo para analizar,⭐ Partido cerrado,Ganador del partido,,,,,,
