id,fecha,partido,equipo_local,equipo_visitante,hora_inicio,estadio,abridor_local,era_local,abridor_visitante,era_visitante,mercado,ganador_proyectado,probabilidad_local,probabilidad_visitante,diferencia_probabilidad,solidez_modelo,marcador_proyectado,evaluacion,estado,generado_en,version_modelo,estado_es,evaluacion_es,mercado_es,total_carreras_esperadas,linea_mercado_ou,lado_recomendado_ou,probabilidad_over_ou,probabilidad_under_ou,origen_linea_ou
823342,2026-08-19,Detroit Tigers @ Pittsburgh Pirates,Pittsburgh Pirates,Detroit Tigers,2026-08-19,PNC Park,Paul Skenes,3.88,Jackson Jobe,6.23,Ganador del partido,Pittsburgh Pirates,58.1%,41.9%,16.2%,77.93,N/A,⭐⭐⭐ Ligera ventaja,FINAL,2026-08-19T15:00:01.646689,1.0.0,Juego finalizado,⭐⭐⭐ Ligera ventaja,Ganador del partido,,,,,,
823342,2026-08-19,Detroit Tigers @ Pittsburgh Pirates,Pittsburgh Pirates,Detroit Tigers,2026-08-19,PNC Park,Paul Skenes,3.88,Jackson Jobe,6.23,Más/Menos carreras,N/A,67.9%,32.1%,35.8%,94.32,N/A,⭐⭐⭐⭐⭐ Favorito fuerte,FINAL,2026-08-19T15:00:01.646713,1.0.0,Juego finalizado,⭐⭐⭐⭐⭐ Favorito fuerte,Más/Menos carreras,9.38,8.0,OVER,67.9,32.1,MARKET
823587,2026-08-19,San Diego Padres @ New York Mets,New York Mets,San Diego Padres,2026-08-19,Citi Field,Robert Stock,6.57,Michael King,3.41,Ganador del partido,San Diego Padres,31.8%,68.2%,36.5%,0.0,N/A,NO_PLAY,IN_PROGRESS,2026-08-19T15:00:01.779207,1.0.0,IN_PROGRESS,NO_PLAY,Ganador del partido,,,,,,
823587,2026-08-19,San Diego Padres @ New York Mets,New York Mets,San Diego Padres,2026-08-19,Citi Field,Robert Stock,6.57,Michael King,3.41,Más/Menos carreras,N/A,42.9%,57.1%,14.2%,0.0,N/A,NO_PLAY,IN_PROGRESS,2026-08-19T15:00:01.779222,1.0.0,IN_PROGRESS,NO_PLAY,Más/Menos carreras,8.16,8.5,UNDER,42.9,57.1,MARKET
823664,2026-08-19,Atlanta Braves @ Minnesota Twins,Minnesota Twins,Atlanta Braves,2026-08-19,Target Field,Taj Bradley,3.98,AJ Smith-Shawver,4.15,Ganador del partido,Minnesota Twins,51.0%,49.0%,2.0%,51.4,N/A,⭐ Partido cerrado,IN_PROGRESS,2026-08-19T15:00:01.904530,1.0.0,IN_PROGRESS,⭐ Partido cerrado,Ganador del partido,,,,,,
823664,2026-08-19,Atlanta Braves @ Minnesota Twins,Minnesota Twins,Atlanta Braves,2026-08-19,Target Field,Taj Bradley,3.98,AJ Smith-Shawver,4.15,Más/Menos carreras,N/A,45.7%,54.3%,8.6%,66.94,N/A,⭐ Partido cerrado,IN_PROGRESS,2026-08-19T15:00:01.904546,1.0.0,IN_PROGRESS,⭐ Partido cerrado,Más/Menos carreras,8.35,8.5,UNDER,45.7,54.3,MARKET
824640,2026-08-19,Chicago White Sox @ Chicago Cubs,Chicago Cubs,Chicago White Sox,2026-08-19,Wrigley Field,Clay Holmes,2.56,Sean Newcomb,2.51,Ganador del partido,Chicago White Sox,48.7%,51.3%,2.7%,37.33,N/A,⭐ Partido cerrado,IN_PROGRESS,2026-08-19T15:00:02.034858,1.0.0,IN_PROGRESS,⭐ Partido cerrado,Ganador del partido,,,,,,
824640,2026-08-19,Chicago White Sox @ Chicago Cubs,Chicago Cubs,Chicago White Sox,2026-08-19,Wrigley Field,Clay Holmes,2.56,Sean Newcomb,2.51,Más/Menos carreras,N/A,20.2%,79.8%,59.6%,85.6,N/A,⭐⭐⭐⭐ Favorable,IN_PROGRESS,2026-08-19T15:00:02.034879,1.0.0,IN_PROGRESS,⭐⭐⭐⭐ Favorable,Más/Menos carreras,6.25,8.0,UNDER,20.2,79.8,MARKET
824722,2026-08-19,Arizona Diamondbacks @ Boston Red Sox,Boston Red Sox,Arizona Diamondbacks,2026-08-19,Fenway Park,Payton Tolle,2.97,Brandon Pfaadt,3.11,Ganador del partido,Arizona Diamondbacks,48.5%,51.5%,3.1%,51.94,N/A,⭐ Partido cerrado,IN_PROGRESS,2026-08-19T18:00:02.818505,1.0.0,IN_PROGRESS,⭐ Partido cerrado,Ganador del partido,,,,,,
824722,2026-08-19,Arizona Diamondbacks @ Boston Red Sox,Boston Red Sox,Arizona Diamondbacks,2026-08-19,Fenway Park,Payton Tolle,2.97,Brandon Pfaadt,3.11,Más/Menos carreras,N/A,24.6%,75.4%,50.8%,100.0,N/A,⭐⭐⭐⭐⭐ Favorito fuerte,IN_PROGRESS,2026-08-19T18:00:02.818520,1.0.0,IN_PROGRESS,⭐⭐⭐⭐⭐ Favorito fuerte,Más/Menos carreras,6.81,8.5,UNDER,24.6,75.4,MARKET
823424,2026-08-19,Miami Marlins @ Philadelphia Phillies,Philadelphia Phillies,Miami Marlins,2026-08-19,Citizens Bank Park,Aaron Nola,5.33,Sandy Alcantara,3.43,Ganador del partido,Miami Marlins,43.0%,57.0%,13.9%,77.48,N/A,⭐⭐⭐ Ligera ventaja,READY,2026-08-19T20:00:02.453879,1.0.0,Listo para analizar,⭐⭐⭐ Ligera ventaja,Ganador del partido,,,,,,
823424,2026-08-19,Miami Marlins @ Philadelphia Phillies,Philadelphia Phillies,Miami Marlins,2026-08-19,Citizens Bank Park,Aaron Nola,5.33,Sandy Alcantara,3.43,Más/Menos carreras,N/A,44.7%,55.3%,10.6%,67.74,N/A,⭐ Partido cerrado,READY,2026-08-19T20:00:02.453898,1.0.0,Listo para analizar,⭐ Partido cerrado,Más/Menos carreras,8.29,8.5,UNDER,44.7,55.3,MARKET
824801,2026-08-19,New York Yankees @ Baltimore Orioles,Baltimore Orioles,New York Yankees,2026-08-19,Oriole Park at Camden Yards,Chris Bassitt,5.11,Will Warren,4.42,Ganador del partido,New York Yankees,45.2%,54.8%,9.6%,53.08,N/A,⭐ Partido cerrado,READY,2026-08-19T20:00:02.599836,1.0.0,Listo para analizar,⭐ Partido cerrado,Ganador del partido,,,,,,
824801,2026-08-19,New York Yankees @ Baltimore Orioles,Baltimore Orioles,New York Yankees,2026-08-19,Oriole Park at Camden Yards,Chris Bassitt,5.11,Will Warren,4.42,Más/Menos carreras,N/A,40.4%,59.6%,19.2%,65.78,N/A,⭐ Partido cerrado,READY,2026-08-19T20:00:02.599852,1.0.0,Listo para analizar,⭐ Partido cerrado,Más/Menos carreras,8.53,9.0,UNDER,40.4,59.6,MARKET
824394,2026-08-19,San Francisco Giants @ Cleveland Guardians,Cleveland Guardians,San Francisco Giants,2026-08-19,Progressive Field,Parker Messick,2.59,Matt Wilkinson,4.5,Ganador del partido,Cleveland Guardians,68.8%,31.2%,37.6%,89.91,N/A,⭐⭐⭐⭐⭐ Favorito fuerte,READY,2026-08-19T20:00:02.688838,1.0.0,Listo para analizar,⭐⭐⭐⭐⭐ Favorito fuerte,Ganador del partido,,,,,,
