id,fecha,partido,equipo_local,equipo_visitante,hora_inicio,estadio,abridor_local,era_local,abridor_visitante,era_visitante,mercado,ganador_proyectado,probabilidad_local,probabilidad_visitante,diferencia_probabilidad,solidez_modelo,marcador_proyectado,evaluacion,estado,generado_en,version_modelo,estado_es,evaluacion_es,mercado_es,total_carreras_esperadas,linea_mercado_ou,lado_recomendado_ou,probabilidad_over_ou,probabilidad_under_ou,origen_linea_ou
824514,2026-08-17,St. Louis Cardinals @ Cincinnati Reds,Cincinnati Reds,St. Louis Cardinals,2026-08-17,Great American Ball Park,Brady Singer,4.66,Brycen Mautz,6.0,Ganador del partido,Cincinnati Reds,52.3%,47.7%,4.6%,66.07,N/A,⭐ Partido cerrado,IN_PROGRESS,2026-08-17T15:00:01.857942,1.0.0,IN_PROGRESS,⭐ Partido cerrado,Ganador del partido,,,,,,
824514,2026-08-17,St. Louis Cardinals @ Cincinnati Reds,Cincinnati Reds,St. Louis Cardinals,2026-08-17,Great American Ball Park,Brady Singer,4.66,Brycen Mautz,6.0,Más/Menos carreras,N/A,29.6%,70.4%,40.8%,96.32,N/A,⭐⭐⭐⭐⭐ Favorito fuerte,IN_PROGRESS,2026-08-17T15:00:01.857958,1.0.0,IN_PROGRESS,⭐⭐⭐⭐⭐ Favorito fuerte,Más/Menos carreras,8.1,9.5,UNDER,29.6,70.4,MARKET
824478,2026-08-17,St. Louis Cardinals @ Cincinnati Reds,Cincinnati Reds,St. Louis Cardinals,2026-08-17,Great American Ball Park,Rhett Lowder,5.15,Andre Pallante,3.46,Ganador del partido,St. Louis Cardinals,26.8%,73.2%,46.4%,84.48,N/A,⭐⭐⭐⭐ Favorable,READY,2026-08-17T18:00:01.907047,1.0.0,Listo para analizar,⭐⭐⭐⭐ Favorable,Ganador del partido,,,,,,
824478,2026-08-17,St. Louis Cardinals @ Cincinnati Reds,Cincinnati Reds,St. Louis Cardinals,2026-08-17,Great American Ball Park,Rhett Lowder,5.15,Andre Pallante,3.46,Más/Menos carreras,N/A,25.4%,74.6%,49.2%,92.48,N/A,⭐⭐⭐⭐⭐ Favorito fuerte,READY,2026-08-17T18:00:01.907062,1.0.0,Listo para analizar,⭐⭐⭐⭐⭐ Favorito fuerte,Más/Menos carreras,7.76,9.5,UNDER,25.4,74.6,MARKET
822939,2026-08-17,Baltimore Orioles @ Tampa Bay Rays,Tampa Bay Rays,Baltimore Orioles,2026-08-17,Tropicana Field,Shane McClanahan,3.09,Brandon Young,3.33,Ganador del partido,Tampa Bay Rays,54.9%,45.1%,9.8%,67.53,N/A,⭐ Partido cerrado,READY,2026-08-17T18:00:02.037031,1.0.0,Listo para analizar,⭐ Partido cerrado,Ganador del partido,,,,,,
822939,2026-08-17,Baltimore Orioles @ Tampa Bay Rays,Tampa Bay Rays,Baltimore Orioles,2026-08-17,Tropicana Field,Shane McClanahan,3.09,Brandon Young,3.33,Más/Menos carreras,N/A,47.0%,53.0%,6.0%,52.4,N/A,⭐ Partido cerrado,READY,2026-08-17T18:00:02.037044,1.0.0,Listo para analizar,⭐ Partido cerrado,Más/Menos carreras,7.46,7.5,UNDER,47.0,53.0,MARKET
823427,2026-08-17,Miami Marlins @ Philadelphia Phillies,Philadelphia Phillies,Miami Marlins,2026-08-17,Citizens Bank Park,Cristopher Sánchez,2.54,Janson Junk,4.41,Ganador del partido,Philadelphia Phillies,60.8%,39.2%,21.5%,79.01,N/A,⭐⭐⭐⭐ Favorable,READY,2026-08-17T18:00:02.135072,1.0.0,Listo para analizar,⭐⭐⭐⭐ Favorable,Ganador del partido,,,,,,
823427,2026-08-17,Miami Marlins @ Philadelphia Phillies,Philadelphia Phillies,Miami Marlins,2026-08-17,Citizens Bank Park,Cristopher Sánchez,2.54,Janson Junk,4.41,Más/Menos carreras,N/A,26.1%,73.9%,47.8%,99.12,N/A,⭐⭐⭐⭐⭐ Favorito fuerte,READY,2026-08-17T18:00:02.135084,1.0.0,Listo para analizar,⭐⭐⭐⭐⭐ Favorito fuerte,Más/Menos carreras,6.67,8.0,UNDER,26.1,73.9,MARKET
823343,2026-08-17,Detroit Tigers @ Pittsburgh Pirates,Pittsburgh Pirates,Detroit Tigers,2026-08-17,PNC Park,Carmen Mlodzinski,3.79,Framber Valdez,4.26,Ganador del partido,Pittsburgh Pirates,57.6%,42.4%,15.3%,63.36,N/A,⭐ Partido cerrado,READY,2026-08-17T18:00:02.251866,1.0.0,Listo para analizar,⭐ Partido cerrado,Ganador del partido,,,,,,
823343,2026-08-17,Detroit Tigers @ Pittsburgh Pirates,Pittsburgh Pirates,Detroit Tigers,2026-08-17,PNC Park,Carmen Mlodzinski,3.79,Framber Valdez,4.26,Más/Menos carreras,N/A,47.1%,52.9%,5.8%,37.92,N/A,⭐ Partido cerrado,READY,2026-08-17T18:00:02.251883,1.0.0,Listo para analizar,⭐ Partido cerrado,Más/Menos carreras,7.98,8.0,UNDER,47.1,52.9,MARKET
824725,2026-08-17,Arizona Diamondbacks @ Boston Red Sox,Boston Red Sox,Arizona Diamondbacks,2026-08-17,Fenway Park,Alec Gamboa,1.59,Mitch Bratt,3.74,Ganador del partido,Boston Red Sox,57.3%,42.7%,14.6%,0.0,N/A,NO_PLAY,READY,2026-08-17T18:00:02.331463,1.0.0,Listo para analizar,NO_PLAY,Ganador del partido,,,,,,
824725,2026-08-17,Arizona Diamondbacks @ Boston Red Sox,Boston Red Sox,Arizona Diamondbacks,2026-08-17,Fenway Park,Alec Gamboa,1.59,Mitch Bratt,3.74,Más/Menos carreras,N/A,21.9%,78.1%,56.2%,0.0,N/A,NO_PLAY,READY,2026-08-17T18:00:02.331478,1.0.0,Listo para analizar,NO_PLAY,Más/Menos carreras,7.24,9.0,UNDER,21.9,78.1,MARKET
823589,2026-08-17,San Diego Padres @ New York Mets,New York Mets,San Diego Padres,2026-08-17,Citi Field,Nolan McLean,3.42,Walker Buehler,4.88,Ganador del partido,New York Mets,54.0%,46.0%,8.0%,67.09,N/A,⭐ Partido cerrado,READY,2026-08-17T18:00:02.477079,1.0.0,Listo para analizar,⭐ Partido cerrado,Ganador del partido,,,,,,
