game_id,date,matchup,market,target,probability_pct,line_value,actual_value,actual_outcome,is_correct,is_push
822780,2026-08-10,Boston Red Sox @ Toronto Blue Jays,MONEYLINE,Boston Red Sox,67.9,0.0,1 a 2 (V-L),home,False,False
822780,2026-08-10,Boston Red Sox @ Toronto Blue Jays,TOTALS,UNDER,59.5,8.0,3.0,UNDER,True,False
824887,2026-08-10,New York Mets @ Atlanta Braves,MONEYLINE,Atlanta Braves,50.9,0.0,8 a 5 (V-L),away,False,False
824887,2026-08-10,New York Mets @ Atlanta Braves,TOTALS,UNDER,73.1,8.5,13.0,OVER,False,False
823675,2026-08-10,Baltimore Orioles @ Minnesota Twins,MONEYLINE,Baltimore Orioles,70.2,0.0,5 a 9 (V-L),home,False,False
823675,2026-08-10,Baltimore Orioles @ Minnesota Twins,TOTALS,OVER,50.9,8.5,14.0,OVER,True,False
823018,2026-08-10,Philadelphia Phillies @ St. Louis Cardinals,MONEYLINE,St. Louis Cardinals,60.5,0.0,6 a 5 (V-L),away,False,False
823018,2026-08-10,Philadelphia Phillies @ St. Louis Cardinals,TOTALS,UNDER,54.7,9.0,11.0,OVER,False,False
823998,2026-08-10,Texas Rangers @ Los Angeles Angels,MONEYLINE,Texas Rangers,50.6,0.0,4 a 1 (V-L),away,True,False
823998,2026-08-10,Texas Rangers @ Los Angeles Angels,TOTALS,OVER,57.9,8.0,5.0,UNDER,False,False
825048,2026-08-10,Colorado Rockies @ Arizona Diamondbacks,MONEYLINE,Arizona Diamondbacks,55.2,0.0,0 a 9 (V-L),home,True,False
825048,2026-08-10,Colorado Rockies @ Arizona Diamondbacks,TOTALS,UNDER,58.1,8.5,9.0,OVER,False,False
824969,2026-08-10,Tampa Bay Rays @ Athletics,MONEYLINE,Tampa Bay Rays,50.0,0.0,10 a 6 (V-L),away,True,False
824969,2026-08-10,Tampa Bay Rays @ Athletics,TOTALS,UNDER,58.1,10.0,16.0,OVER,False,False
823265,2026-08-10,Milwaukee Brewers @ San Diego Padres,MONEYLINE,Milwaukee Brewers,54.1,0.0,2 a 3 (V-L),home,False,False
823265,2026-08-10,Milwaukee Brewers @ San Diego Padres,TOTALS,UNDER,59.9,7.0,5.0,UNDER,True,False
823189,2026-08-10,Houston Astros @ San Francisco Giants,MONEYLINE,San Francisco Giants,51.2,0.0,6 a 3 (V-L),away,False,False
823189,2026-08-10,Houston Astros @ San Francisco Giants,TOTALS,UNDER,70.4,8.5,9.0,OVER,False,False
823918,2026-08-10,Kansas City Royals @ Los Angeles Dodgers,MONEYLINE,Los Angeles Dodgers,61.6,0.0,5 a 6 (V-L),home,True,False
823918,2026-08-10,Kansas City Royals @ Los Angeles Dodgers,TOTALS,UNDER,51.3,7.5,11.0,OVER,False,False
