id,fecha,partido,equipo_local,equipo_visitante,hora_inicio,estadio,abridor_local,era_local,abridor_visitante,era_visitante,mercado,ganador_proyectado,probabilidad_local,probabilidad_visitante,diferencia_probabilidad,solidez_modelo,marcador_proyectado,evaluacion,estado,generado_en,version_modelo,estado_es,evaluacion_es,mercado_es,total_carreras_esperadas,linea_mercado_ou,lado_recomendado_ou,probabilidad_over_ou,probabilidad_under_ou,origen_linea_ou
823672,2026-08-12,Baltimore Orioles @ Minnesota Twins,Minnesota Twins,Baltimore Orioles,2026-08-12,Target Field,Zebby Matthews,5.23,Shane Baz,3.76,Ganador del partido,Baltimore Orioles,36.6%,63.4%,26.8%,72.86,N/A,⭐⭐⭐ Ligera ventaja,READY,2026-08-12T16:47:01.831087,1.0.0,Listo para analizar,⭐⭐⭐ Ligera ventaja,Ganador del partido,,,,,,
823672,2026-08-12,Baltimore Orioles @ Minnesota Twins,Minnesota Twins,Baltimore Orioles,2026-08-12,Target Field,Zebby Matthews,5.23,Shane Baz,3.76,Más/Menos carreras,N/A,43.0%,57.0%,14.0%,70.9,N/A,⭐⭐⭐ Ligera ventaja,READY,2026-08-12T16:47:01.831107,1.0.0,Listo para analizar,⭐⭐⭐ Ligera ventaja,Más/Menos carreras,8.7,9.0,UNDER,43.0,57.0,MARKET
823017,2026-08-12,Philadelphia Phillies @ St. Louis Cardinals,St. Louis Cardinals,Philadelphia Phillies,2026-08-12,Busch Stadium,Kyle Leahy,3.45,Zack Wheeler,2.69,Ganador del partido,Philadelphia Phillies,50.0%,50.0%,0.1%,50.07,N/A,⭐ Partido cerrado,READY,2026-08-12T16:47:02.064242,1.0.0,Listo para analizar,⭐ Partido cerrado,Ganador del partido,,,,,,
823017,2026-08-12,Philadelphia Phillies @ St. Louis Cardinals,St. Louis Cardinals,Philadelphia Phillies,2026-08-12,Busch Stadium,Kyle Leahy,3.45,Zack Wheeler,2.69,Más/Menos carreras,N/A,22.8%,77.2%,54.4%,100.0,N/A,⭐⭐⭐⭐⭐ Favorito fuerte,READY,2026-08-12T16:47:02.064255,1.0.0,Listo para analizar,⭐⭐⭐⭐⭐ Favorito fuerte,Más/Menos carreras,6.44,8.0,UNDER,22.8,77.2,MARKET
824967,2026-08-12,Tampa Bay Rays @ Athletics,Athletics,Tampa Bay Rays,2026-08-12,Sutter Health Park,Jack Perkins,7.04,Drew Rasmussen,2.75,Ganador del partido,Tampa Bay Rays,22.0%,78.0%,56.0%,79.52,N/A,⭐⭐⭐⭐ Favorable,READY,2026-08-12T16:47:02.230555,1.0.0,Listo para analizar,⭐⭐⭐⭐ Favorable,Ganador del partido,,,,,,
824967,2026-08-12,Tampa Bay Rays @ Athletics,Athletics,Tampa Bay Rays,2026-08-12,Sutter Health Park,Jack Perkins,7.04,Drew Rasmussen,2.75,Más/Menos carreras,N/A,52.0%,48.0%,4.0%,37.2,N/A,⭐ Partido cerrado,READY,2026-08-12T16:47:02.230568,1.0.0,Listo para analizar,⭐ Partido cerrado,Más/Menos carreras,9.83,9.5,OVER,52.0,48.0,MARKET
825047,2026-08-12,Colorado Rockies @ Arizona Diamondbacks,Arizona Diamondbacks,Colorado Rockies,2026-08-12,Chase Field,Merrill Kelly,4.88,Ryan Feltner,5.71,Ganador del partido,Arizona Diamondbacks,65.8%,34.2%,31.6%,88.55,N/A,⭐⭐⭐⭐⭐ Favorito fuerte,READY,2026-08-12T16:47:02.383626,1.0.0,Listo para analizar,⭐⭐⭐⭐⭐ Favorito fuerte,Ganador del partido,,,,,,
825047,2026-08-12,Colorado Rockies @ Arizona Diamondbacks,Arizona Diamondbacks,Colorado Rockies,2026-08-12,Chase Field,Merrill Kelly,4.88,Ryan Feltner,5.71,Más/Menos carreras,N/A,60.1%,39.9%,20.2%,88.08,N/A,⭐⭐⭐⭐⭐ Favorito fuerte,READY,2026-08-12T16:47:02.383639,1.0.0,Listo para analizar,⭐⭐⭐⭐⭐ Favorito fuerte,Más/Menos carreras,9.87,9.0,OVER,60.1,39.9,MARKET
823187,2026-08-12,Houston Astros @ San Francisco Giants,San Francisco Giants,Houston Astros,2026-08-12,Oracle Park,Adrian Houser,4.55,Bryan King,3.83,Ganador del partido,Houston Astros,49.4%,50.6%,1.3%,43.78,N/A,⭐ Partido cerrado,READY,2026-08-12T16:47:02.511079,1.0.0,Listo para analizar,⭐ Partido cerrado,Ganador del partido,,,,,,
823187,2026-08-12,Houston Astros @ San Francisco Giants,San Francisco Giants,Houston Astros,2026-08-12,Oracle Park,Adrian Houser,4.55,Bryan King,3.83,Más/Menos carreras,N/A,43.2%,56.8%,13.6%,70.74,N/A,⭐⭐⭐ Ligera ventaja,READY,2026-08-12T16:47:02.511091,1.0.0,Listo para analizar,⭐⭐⭐ Ligera ventaja,Más/Menos carreras,8.18,8.5,UNDER,43.2,56.8,MARKET
