id,fecha,partido,equipo_local,equipo_visitante,hora_inicio,estadio,abridor_local,era_local,abridor_visitante,era_visitante,mercado,ganador_proyectado,probabilidad_local,probabilidad_visitante,diferencia_probabilidad,solidez_modelo,marcador_proyectado,evaluacion,estado,generado_en,version_modelo,estado_es,evaluacion_es,mercado_es,total_carreras_esperadas,linea_mercado_ou,lado_recomendado_ou,probabilidad_over_ou,probabilidad_under_ou,origen_linea_ou
824803,2026-08-18,New York Yankees @ Baltimore Orioles,Baltimore Orioles,New York Yankees,2026-08-18,Oriole Park at Camden Yards,Shane Baz,4.0,Carlos Rodón,3.3,Ganador del partido,New York Yankees,49.6%,50.4%,0.9%,50.65,N/A,⭐ Partido cerrado,READY,2026-08-18T20:00:02.152268,1.0.0,Listo para analizar,⭐ Partido cerrado,Ganador del partido,,,,,,
824803,2026-08-18,New York Yankees @ Baltimore Orioles,Baltimore Orioles,New York Yankees,2026-08-18,Oriole Park at Camden Yards,Shane Baz,4.0,Carlos Rodón,3.3,Más/Menos carreras,N/A,29.6%,70.4%,40.8%,96.32,N/A,⭐⭐⭐⭐⭐ Favorito fuerte,READY,2026-08-18T20:00:02.152292,1.0.0,Listo para analizar,⭐⭐⭐⭐⭐ Favorito fuerte,Más/Menos carreras,7.19,8.5,UNDER,29.6,70.4,MARKET
823341,2026-08-18,Detroit Tigers @ Pittsburgh Pirates,Pittsburgh Pirates,Detroit Tigers,2026-08-18,PNC Park,Braxton Ashcraft,3.82,Keider Montero,3.22,Ganador del partido,Detroit Tigers,44.8%,55.2%,10.4%,67.68,N/A,⭐ Partido cerrado,READY,2026-08-18T20:00:02.231900,1.0.0,Listo para analizar,⭐ Partido cerrado,Ganador del partido,,,,,,
823341,2026-08-18,Detroit Tigers @ Pittsburgh Pirates,Pittsburgh Pirates,Detroit Tigers,2026-08-18,PNC Park,Braxton Ashcraft,3.82,Keider Montero,3.22,Más/Menos carreras,N/A,42.4%,57.6%,15.2%,78.58,N/A,⭐⭐⭐⭐ Favorable,READY,2026-08-18T20:00:02.231915,1.0.0,Listo para analizar,⭐⭐⭐⭐ Favorable,Más/Menos carreras,7.7,8.0,UNDER,42.4,57.6,MARKET
824398,2026-08-18,San Francisco Giants @ Cleveland Guardians,Cleveland Guardians,San Francisco Giants,2026-08-18,Progressive Field,Foster Griffin,3.25,Carson Whisenhunt,6.11,Ganador del partido,Cleveland Guardians,67.8%,32.2%,35.6%,89.5,N/A,⭐⭐⭐⭐⭐ Favorito fuerte,READY,2026-08-18T20:00:02.331278,1.0.0,Listo para analizar,⭐⭐⭐⭐⭐ Favorito fuerte,Ganador del partido,,,,,,
824398,2026-08-18,San Francisco Giants @ Cleveland Guardians,Cleveland Guardians,San Francisco Giants,2026-08-18,Progressive Field,Foster Griffin,3.25,Carson Whisenhunt,6.11,Más/Menos carreras,N/A,48.6%,51.4%,2.8%,51.12,N/A,⭐ Partido cerrado,READY,2026-08-18T20:00:02.331295,1.0.0,Listo para analizar,⭐ Partido cerrado,Más/Menos carreras,8.08,8.0,UNDER,48.6,51.4,MARKET
824475,2026-08-18,St. Louis Cardinals @ Cincinnati Reds,Cincinnati Reds,St. Louis Cardinals,2026-08-18,Great American Ball Park,Andrew Abbott,4.13,Kyle Leahy,3.38,Ganador del partido,St. Louis Cardinals,39.6%,60.5%,20.9%,78.88,N/A,⭐⭐⭐⭐ Favorable,READY,2026-08-18T20:00:02.413449,1.0.0,Listo para analizar,⭐⭐⭐⭐ Favorable,Ganador del partido,,,,,,
824475,2026-08-18,St. Louis Cardinals @ Cincinnati Reds,Cincinnati Reds,St. Louis Cardinals,2026-08-18,Great American Ball Park,Andrew Abbott,4.13,Kyle Leahy,3.38,Más/Menos carreras,N/A,29.1%,70.9%,41.8%,96.72,N/A,⭐⭐⭐⭐⭐ Favorito fuerte,READY,2026-08-18T20:00:02.413465,1.0.0,Listo para analizar,⭐⭐⭐⭐⭐ Favorito fuerte,Más/Menos carreras,7.15,8.5,UNDER,29.1,70.9,MARKET
822938,2026-08-18,Toronto Blue Jays @ Tampa Bay Rays,Tampa Bay Rays,Toronto Blue Jays,2026-08-18,Tropicana Field,Nick Martinez,2.74,José Soriano,3.16,Ganador del partido,Toronto Blue Jays,50.0%,50.0%,0.1%,50.04,N/A,⭐ Partido cerrado,READY,2026-08-18T20:00:02.549567,1.0.0,Listo para analizar,⭐ Partido cerrado,Ganador del partido,,,,,,
822938,2026-08-18,Toronto Blue Jays @ Tampa Bay Rays,Tampa Bay Rays,Toronto Blue Jays,2026-08-18,Tropicana Field,Nick Martinez,2.74,José Soriano,3.16,Más/Menos carreras,N/A,33.3%,66.7%,33.4%,93.36,N/A,⭐⭐⭐⭐⭐ Favorito fuerte,READY,2026-08-18T20:00:02.549581,1.0.0,Listo para analizar,⭐⭐⭐⭐⭐ Favorito fuerte,Más/Menos carreras,6.54,7.5,UNDER,33.3,66.7,MARKET
823423,2026-08-18,Miami Marlins @ Philadelphia Phillies,Philadelphia Phillies,Miami Marlins,2026-08-18,Citizens Bank Park,Zack Wheeler,2.89,Cade Gibson,5.61,Ganador del partido,Philadelphia Phillies,52.1%,47.9%,4.2%,65.95,N/A,⭐ Partido cerrado,READY,2026-08-18T20:00:02.634400,1.0.0,Listo para analizar,⭐ Partido cerrado,Ganador del partido,,,,,,
823423,2026-08-18,Miami Marlins @ Philadelphia Phillies,Philadelphia Phillies,Miami Marlins,2026-08-18,Citizens Bank Park,Zack Wheeler,2.89,Cade Gibson,5.61,Más/Menos carreras,N/A,31.2%,68.8%,37.6%,95.04,N/A,⭐⭐⭐⭐⭐ Favorito fuerte,READY,2026-08-18T20:00:02.634417,1.0.0,Listo para analizar,⭐⭐⭐⭐⭐ Favorito fuerte,Más/Menos carreras,7.01,8.0,UNDER,31.2,68.8,MARKET
824723,2026-08-18,Arizona Diamondbacks @ Boston Red Sox,Boston Red Sox,Arizona Diamondbacks,2026-08-18,Fenway Park,Ranger Suarez,3.25,Merrill Kelly,5.11,Ganador del partido,Boston Red Sox,50.8%,49.2%,1.7%,51.24,N/A,⭐ Partido cerrado,READY,2026-08-18T20:00:02.752489,1.0.0,Listo para analizar,⭐ Partido cerrado,Ganador del partido,,,,,,
824723,2026-08-18,Arizona Diamondbacks @ Boston Red Sox,Boston Red Sox,Arizona Diamondbacks,2026-08-18,Fenway Park,Ranger Suarez,3.25,Merrill Kelly,5.11,Más/Menos carreras,N/A,48.0%,52.0%,4.0%,51.6,N/A,⭐ Partido cerrado,READY,2026-08-18T20:00:02.752501,1.0.0,Listo para analizar,⭐ Partido cerrado,Más/Menos carreras,8.53,8.5,UNDER,48.0,52.0,MARKET
823586,2026-08-18,San Diego Padres @ New York Mets,New York Mets,San Diego Padres,2026-08-18,Citi Field,Zac Thornton,2.78,Robbie Ray,3.28,Ganador del partido,San Diego Padres,48.9%,51.1%,2.1%,37.07,N/A,⭐ Partido cerrado,READY,2026-08-18T20:00:02.845779,1.0.0,Listo para analizar,⭐ Partido cerrado,Ganador del partido,,,,,,
823586,2026-08-18,San Diego Padres @ New York Mets,New York Mets,San Diego Padres,2026-08-18,Citi Field,Zac Thornton,2.78,Robbie Ray,3.28,Más/Menos carreras,N/A,16.9%,83.1%,66.2%,85.6,N/A,⭐⭐⭐⭐ Favorable,READY,2026-08-18T20:00:02.845793,1.0.0,Listo para analizar,⭐⭐⭐⭐ Favorable,Más/Menos carreras,6.15,8.5,UNDER,16.9,83.1,MARKET
824075,2026-08-18,Athletics @ Kansas City Royals,Kansas City Royals,Athletics,2026-08-18,Kauffman Stadium,Daniel Lynch IV,2.88,Jack Perkins,7.27,Ganador del partido,Kansas City Royals,72.7%,27.3%,45.4%,0.0,N/A,NO_PLAY,READY,2026-08-18T20:00:02.976971,1.0.0,Listo para analizar,NO_PLAY,Ganador del partido,,,,,,
824075,2026-08-18,Athletics @ Kansas City Royals,Kansas City Royals,Athletics,2026-08-18,Kauffman Stadium,Daniel Lynch IV,2.88,Jack Perkins,7.27,Más/Menos carreras,N/A,44.6%,55.4%,10.8%,0.0,N/A,NO_PLAY,READY,2026-08-18T20:00:02.976986,1.0.0,Listo para analizar,NO_PLAY,Más/Menos carreras,9.78,10.0,UNDER,44.6,55.4,MARKET
