id,fecha,partido,equipo_local,equipo_visitante,hora_inicio,estadio,abridor_local,era_local,abridor_visitante,era_visitante,mercado,ganador_proyectado,probabilidad_local,probabilidad_visitante,diferencia_probabilidad,solidez_modelo,marcador_proyectado,evaluacion,estado,generado_en,version_modelo,estado_es,evaluacion_es,mercado_es,total_carreras_esperadas,linea_mercado_ou,lado_recomendado_ou,probabilidad_over_ou,probabilidad_under_ou,origen_linea_ou
822780,2026-08-10,Boston Red Sox @ Toronto Blue Jays,Toronto Blue Jays,Boston Red Sox,2026-08-10,Rogers Centre,Jameson Taillon,5.96,Sonny Gray,2.78,Ganador del partido,Boston Red Sox,32.1%,67.9%,35.9%,82.37,N/A,⭐⭐⭐⭐ Favorable,READY,2026-08-10T21:07:08.546107,1.0.0,Listo para analizar,⭐⭐⭐⭐ Favorable,Ganador del partido,,,,,,
822780,2026-08-10,Boston Red Sox @ Toronto Blue Jays,Toronto Blue Jays,Boston Red Sox,2026-08-10,Rogers Centre,Jameson Taillon,5.96,Sonny Gray,2.78,Más/Menos carreras,N/A,40.5%,59.5%,19.0%,72.9,N/A,⭐⭐⭐ Ligera ventaja,READY,2026-08-10T21:07:08.546119,1.0.0,Listo para analizar,⭐⭐⭐ Ligera ventaja,Más/Menos carreras,7.58,8.0,UNDER,40.5,59.5,MARKET
824887,2026-08-10,New York Mets @ Atlanta Braves,Atlanta Braves,New York Mets,2026-08-10,Truist Park,Bryce Elder,3.69,Christian Scott,3.15,Ganador del partido,Atlanta Braves,50.9%,49.1%,1.7%,51.26,N/A,⭐ Partido cerrado,READY,2026-08-10T21:07:08.757793,1.0.0,Listo para analizar,⭐ Partido cerrado,Ganador del partido,,,,,,
824887,2026-08-10,New York Mets @ Atlanta Braves,Atlanta Braves,New York Mets,2026-08-10,Truist Park,Bryce Elder,3.69,Christian Scott,3.15,Más/Menos carreras,N/A,26.9%,73.1%,46.2%,98.48,N/A,⭐⭐⭐⭐⭐ Favorito fuerte,READY,2026-08-10T21:07:08.757811,1.0.0,Listo para analizar,⭐⭐⭐⭐⭐ Favorito fuerte,Más/Menos carreras,6.99,8.5,UNDER,26.9,73.1,MARKET
823675,2026-08-10,Baltimore Orioles @ Minnesota Twins,Minnesota Twins,Baltimore Orioles,2026-08-10,Target Field,Dean Kremer,5.93,Trevor Rogers,4.2,Ganador del partido,Baltimore Orioles,29.8%,70.2%,40.3%,76.06,N/A,⭐⭐⭐ Ligera ventaja,READY,2026-08-10T21:07:08.965863,1.0.0,Listo para analizar,⭐⭐⭐ Ligera ventaja,Ganador del partido,,,,,,
823675,2026-08-10,Baltimore Orioles @ Minnesota Twins,Minnesota Twins,Baltimore Orioles,2026-08-10,Target Field,Dean Kremer,5.93,Trevor Rogers,4.2,Más/Menos carreras,N/A,50.9%,49.1%,1.8%,36.32,N/A,⭐ Partido cerrado,READY,2026-08-10T21:07:08.965879,1.0.0,Listo para analizar,⭐ Partido cerrado,Más/Menos carreras,8.74,8.5,OVER,50.9,49.1,MARKET
823018,2026-08-10,Philadelphia Phillies @ St. Louis Cardinals,St. Louis Cardinals,Philadelphia Phillies,2026-08-10,Busch Stadium,Hunter Dobbins,3.6,Andrew Painter,6.48,Ganador del partido,St. Louis Cardinals,60.5%,39.5%,20.9%,0.0,N/A,NO_PLAY,READY,2026-08-10T21:07:09.100178,1.0.0,Listo para analizar,NO_PLAY,Ganador del partido,,,,,,
823018,2026-08-10,Philadelphia Phillies @ St. Louis Cardinals,St. Louis Cardinals,Philadelphia Phillies,2026-08-10,Busch Stadium,Hunter Dobbins,3.6,Andrew Painter,6.48,Más/Menos carreras,N/A,45.3%,54.7%,9.4%,0.0,N/A,NO_PLAY,READY,2026-08-10T21:07:09.100192,1.0.0,Listo para analizar,NO_PLAY,Más/Menos carreras,8.86,9.0,UNDER,45.3,54.7,MARKET
823998,2026-08-10,Texas Rangers @ Los Angeles Angels,Los Angeles Angels,Texas Rangers,2026-08-10,Angel Stadium,Reid Detmers,4.12,MacKenzie Gore,4.55,Ganador del partido,Texas Rangers,49.4%,50.6%,1.3%,50.96,N/A,⭐ Partido cerrado,READY,2026-08-10T21:07:09.262113,1.0.0,Listo para analizar,⭐ Partido cerrado,Ganador del partido,,,,,,
823998,2026-08-10,Texas Rangers @ Los Angeles Angels,Los Angeles Angels,Texas Rangers,2026-08-10,Angel Stadium,Reid Detmers,4.12,MacKenzie Gore,4.55,Más/Menos carreras,N/A,57.9%,42.1%,15.8%,78.82,N/A,⭐⭐⭐⭐ Favorable,READY,2026-08-10T21:07:09.262126,1.0.0,Listo para analizar,⭐⭐⭐⭐ Favorable,Más/Menos carreras,8.67,8.0,OVER,57.9,42.1,MARKET
